text,class
Terremoto in Abruzzo 251 morti venerdì funerali di Stato: Salgono a 251 le vittime del terremoto che ha colpit.. http://tinyurl.com/canfxd,damage
Terremoto in Abruzzo oltre 150 morti 70 mila senzatetto: La maledizione del terremoto è arrivata in piena nott.. http://tinyurl.com/de43zt,damage
Terremoto in Abruzzo 272 morti venerdì funerali di Stato: E&#8217; di 272 morti il nuovo bilancio delle vittim.. http://tinyurl.com/cvcx5d,damage
Boom di donazioni sangue per feriti terremoto in Abruzzo: Anche fra i donatori di sangue torinesi si è scatenata.. http://tinyurl.com/c2op8z,no damage
Ieri un terribile incidente mortale per mancata precedenza: Un morto un ferito grave e sei auto coinvolte: ques.. http://tinyurl.com/d5b65h,not relevant
Terremoto Abruzzo vittime 207 inchiesta disastro colposo: Il bilancio si aggrava. Sono 207 i morti accertati n.. http://tinyurl.com/cs5l52,damage
Terremoto in Abruzzo 260 morti venerdì funerali di Stato: Sale a 260 il bilancio dei morti provocati dal terre.. http://tinyurl.com/dy2q4r,damage
Terremoto in Abruzzo 260 morti sciacallaggio sarà reato: Il terremoto fa ancora paura in Abruzzo mentre si ag.. http://tinyurl.com/ckchgs,damage
Terremoto in Abruzzo salvati tre studenti da morte certa: Ha agito con vero sprezzo del pericolo incurante del.. http://tinyurl.com/c3okb3,no damage
Turista italiano muore in un incidente stradale in Messico: Un turista italiano Pier Paolo Procopio è morto in.. http://tinyurl.com/daqc2q,not relevant
Quattro giovani sono morti in un incidente d’auto a Lucca: Quattro giovani toscani due ragazzi e due ragazze t.. http://tinyurl.com/cn3vaa,not relevant
Ho sognato io o c'è stata un'altra scossetta? #terremoto,no damage
Siete svegli per il #terremoto ? Godetevi l'alba dalla costa dei trabocchi.,no damage
#terremoto ci sono stati danni con l'ultima scossa?,no damage
Forti scosse di terremoto nelle notte in Emilia  ci sono 4 vittime e molti danni,damage
Ma si riesce a dormire 'sta notte?! E basta #terremoto #earthquake,not relevant
Qualcuno per confermare danni al castello di Ferrra ? #terremoto,no damage
Epporcaputtana! Che nottata di merda! #terremoto,not relevant
Trovato morto l'operaio di bondeno #terremoto,damage
##terremoto skytg24 in diretta ora ad un'ora esatta dal,not relevant
#Sardegna in ginocchio: 9 morti ponti crollati abitazioni allagate strade interrotte diretta su http://t.co/BdPwKIKJus #allertameteoSAR,damage
Gente... buonanotte! #terremoto,no damage
“@ansa_topnews: Maltempo in Sardegna nove morti: Imprecisato il numero dei dispersi o http://t.co/gpIPGd0yHG” #allertameteoSAR,damage
Terremoto nel Nord Italia http://t.co/qBBJizUp,no damage
Leggo di grossi danni per il terremoto. Forza gente fatevi coraggio! Sono con voi.,damage
#terremoto #bologna Altra scossa forte. Ciao.,no damage
#terremoto SKYTG24 conferma un morto a Bondeno operaio in fabbrica. Che tristezza. :(,damage
#terremoto. 4 operai morti nel crollo di tre capannoni. C'è da riflettere,damage
#terremoto RAINEWS: Una vittima in provincia di Ferrara due feriti gravi,damage
#NowInValdagno #terremoto ancora scossa...ancora Twitter... ;),no damage
altra scossaaaaa #terremoto ho perso il conto,no damage
Sentita un'altra scossa di assestamento leggerissima #terremoto,no damage
Ecco la scossa piccolina in realtà è stata lunghissima. Paura eh. #terremoto,no damage
Sei morti. 2 per malori dopo il #terremoto 4 operai che facevano il turno di notte.,damage
Secondo il sito de "L'Unione Sarda" i morti sarebbero 16. #allertameteoSAR #Sardegna #Olbia,damage
Gabrielli Prot. Civile: "12 morti a #Olbia 2 prov Nuoro 1 prov Oristano. 2 dispersi tra cui un bimbo". #Sardegna #allertameteoSAR,damage
Pare che non ci siano più paesi isolati in #Sardegna. Bilancio non definitivo giornali sardi parlano di 18 morti.#allertameteoSAR #Olbia,damage
Cappellacci pres. reg. #Sardegna: "17 morti alcuni dispersi. Viabilità disastrata"#allertameteoSAR #Olbia #ForzaSardegna,damage
#olbia la più colpita. Ponti crollati persone bloccate nelle case forse 6 morti. È una situazione gravissima @YOUsardegna #allertameteoSAR”,damage
“@ansa_it: Sardegna: Protezione Civile 9 i morti https://t.co/D301li75UM” brutte notizie #allertameteoSAR @indivanados,damage
10morti e la rai magicamente inizia a parlarne #allertameteoSAR #raimerda,damage
“@la_stampa: Sardegna in ginocchio per il maltempo Il ciclone fa 14 morti decine di dispersi  http://t.co/WdaWCwMgpI” #allertameteoSAR,damage
Morti saliti a 18 e in aumento. Avevano previsto questa pioggia da giorni. Ma ovviamente nessuno ha fatto nulla #allertameteoSAR #Sardegna,damage
18 morti e Gabrielli si muove solo ora. Vergogna!!  #allertameteoSAR #Sardegna,damage
“UPDATE [19.11-08:00] #Sardegna +++#MALTEMPO: BILANCIO PROVVISORIO: 14 MORTI – SI TEMONO #DISPERSI+++  #allertameteoSAR #emergenza24”,damage
La diciassettesima vittima è bimbo disperso a Raica. :/ http://t.co/7Xovma6tBr … #allertameteoSAR#ForzaSardegna”,damage
alluvioni in #Sardegna è ancora morte: di chi sono le colpe? http://t.co/L82qcrAkdh #allertameteoSAR Indovina http://t.co/JtqJTO3bKd,no damage
La cosa peggiore? Se in Sardegna non fossero morte persone al governo nessuno se ne sarebbe accorto altro che fondi. #allertameteoSAR,damage
#earthquake #terremoto 6 people still alive under "Casa dello studente" rubble in L'Aquila.,not relevant
Altra scossa. Trema ancora.,not relevant
Monti sta versando le lacrime da coccodrillo! Nessuno paghera' i danni del terremoto!,no damage
#terremotobologna dopo giro in casa nessuna crepa ne danno... Ironhome!,no damage
Ma non smette più #terremoto,not relevant
Un pensiero a tutti in Italia per il Terremoto al Nord forse e' un segnale !!!,not relevant
Molto triste per I'll terremoto in italia mettero un casco in ebay per trovare fondi per aiutare sono vicino a tutti in italia,no damage
@alessio1970 troviamo la maniera per trovare dei fondi per I'll terremoto ho visto le foto...molto male,no damage
purtroppo risultano 4 morti (fonte Provincia di #Ferrara) #terremoto,damage
#allertameteoSAR ponte crollato a Monte Pino: aveva già ceduto  #NOPedemontana #NOped @Maurizio_Lupi http://t.co/lu2k8WkWZ1,damage
Cazzo di nuovo. Basta. #terremoto #milano,not relevant
a Padova si continua a ballare #terremoto,no damage
#terremoto #venezia altre scosse...,no damage
Ma con 6 morti in sardegna possibile che nessun canale parli dell'emergenza meteo ? #allarmemeteoSAR #allertameteoSAR,damage
Che strazio gli agnelli nati morti a #olbia dopo l'alluvione #allertameteoSAR,not relevant
RIFUGIO TOBIA a Narbolia ha subito ingenti danni per alluvione.Domenica 1° dicembre 9.30 giornata per sistemare il canile. #allertameteoSAR,damage
Altra scossa alle 5.04 #terremoto #Milano,no damage
Su RaiNews hanno dato la notizia di un morto causa #Terremoto a Bundeno :(,damage
Altra scossetta a Milano. Corta e meno forte ma ha riballato tutto #terremoto,no damage
Un altra scossa,no damage
Ma oltre a danni ci sono stati morti per il terremoto?,no damage
Guardo il TG e scopro vittime e danni del #terremoto :(,damage
Piccola scossa di nuovo adesso #terremoto esattamente un'ora dopo,no damage
Il #terremoto ci ha svegliato anche qui nelle marche...,no damage
Ecchepalle...stavo quasi x riaddormentarmi... #terremoto,no damage
Un'altra bella pesa! #terremoto,no damage
#allertameteoSAR B&amp;B 10 posti letto gratis via Dannunzio 92. Tel. 331 2095889 - B&amp;B offre alloggi gratis 3939800313,not relevant
#allertameteoSAR Sardegna 17 morti e 2 dispersi: 1 a Onanì 1 a Torpè (NU) [DIRETTA MULTIMEDIALE] http://t.co/g0n6X8wrkC,damage
#Sardegna ferita: il fotoconfronto #allertameteoSAR http://t.co/3XfIlTIT5J http://t.co/Xh98KtBCrV,no damage
Incidente sul lago d'Iseo tre dispersi e un ferito grave http://tinyurl.com/d6fmgh,not relevant
Scossa di #assestamero. E poi quello in hangover sono io.,no damage
Un'altra scossa cazzo?! #bergamo #1oradopo,not relevant
altro giroaltra scossa,not relevant
Sì ancora #terremoto che si sente fin qui. Nonostante gli uccelli trillanti,no damage
Altra scossa di #terremoto a #Pavia più leggera della precedente,no damage
Videolina: a Terralba case evacuate alloggi di fortuna nelle scuole. Per ora nessun danno alle persone #allertameteoSAR,no damage
Altra scossetta a #genova ora #terremoto,no damage
o c'è stato il terremoto o sta per crollare il palazzo!,no damage
#terremoto: altra scossa più leggera alle 05:04 un'ora dopo quella principale,no damage
un abbraccio alle famiglie delle vittime ai feriti e a tutti gli sfollati #terremoto,damage
#terremoto #vigarano la chiesa ha qualche danno. Accidenti! http://t.co/tGyOytlA,damage
STI CAZZI DELLA GRAN SCOSSA!! epicentro vicinissimo..paura cazzo!,no damage
Ed eccomi qui sveglia dalle quattro per il terremoto!,no damage
uh...stavolta l'ho sentito anch'io...la prima scossa deve averla assorbita l'auto...,no damage
ALTRA LEGGERA E BREVE SCOSSA IN ZONA MILANO.,no damage
Ore 5.05 altra scossa,no damage
#terremoto anche in Cile a quanto pare...i Maya?,not relevant
Altra piccola scossa #echidorme ??,no damage
Altra scossa in questo momento #terremoto,no damage
#terremoto dopo l'ultima tutta la famiglia in strada,no damage
#terremoto piazza Maggiore affollata alle 5 di mattina http://t.co/SeZzr1X5,no damage
#terremoto Si muove ancora tutto e chi dorme piu',no damage
#terremoto altra scossa... Si familiarizza in strada...,no damage
Altra scossa di assestamento proprio ora #terremoto,no damage
#terremoto #ferrara altra scossa ondulatoria,no damage
#Ferrara #terremoto crolla torre orologio Poggio Renatico,damage
Terremoto i danni a San Felice sul Panaro http://t.co/dqUPO7fe,damage
"@carlomuntoni: #Terralba Guardia medica trasferita nella sede Avis di via Napoli n.3. #allertameteoSAR http://t.co/i84UOib2Kj",no damage
Un'altra scossa #TERREMOTO ,no damage
Un altro assestamento... #terremoto #Rovigo,no damage
#terremoto Altra scossa avvertita 5:03 a Brescia.,no damage
#Terremoto Mappa di pericolosità sismica dellla zona - ! - http://t.co/92tYszhp,no damage
AGI - 23:56 - #AllertameteoSAR - Ciclonekiller in Sardegna Sette morti fra Olbia e Nuoro  http://t.co/8HL8RkMi8X via @Agenzia_Italia,damage
AGI - Agenzia Italia: Maltempo: protezione civile Sardegna 4 bimbi fra i 16 morti - #allertameteoSAR http://t.co/h9gh7OpQew,damage
#terremoto ora basta! Uno prova a riaddormentarsi e via un'altra #scossa,no damage
#terremoto a quanto pare in Emilia c'è poco da scherzare.,not relevant
Ancora terremoto,no damage
@robrighi @TottiRiva altra scossa,no damage
"@Emergenza24: UPDATE [18.11-23:00] #Sardegna +++#MALTEMPO PROVVISORIO: 9 MORTI+++ (6 Olbia 1 Dorgali 1 Uras 1 Torpè) #allertameteoSAR",damage
Nuova scossa di #terremoto ore 5.07 a Milano e sta continuando,no damage
Un'altra scossa bella forte ho capito va' rimango in macchina nel giardino di casa...,no damage
Caduto il Campanile di San Felice! (MO) #terremoto #earthquake #Italy,damage
Un altra scossa un minuto fa #Terremoto,no damage
#rainews parla di danni a #bondeno #terremoto con persone coinvolte,damage
#mediaset manco il televideo ha aggiornato #terremoto,not relevant
@alessio1970 eh si..fortissima scossa...notizie veramente tristi... :-(,no damage
Di nuovo!!! #terremoto,no damage
Ancora!! Adesso non dormo più !!! #terremoto,no damage
altra scossa di #terremoto bella forte qui a crevalcore,no damage
a Crevalcore e' crollato il tetto del campanile piazza transennata #terremoto,damage
#Terremoto i morti sarebbero lavoratori che avevano finito il proprio turno.,damage
#terremoto una vittima a #Bondeno nel crollo di una fabbrica  -  #Ferrara,damage
aridaglie...altra scossa piu' piccola..,no damage
#terremoto niente da fare si continua a ballare,no damage
Niente di meglio di uno sciame sismico che ti culla per riaddormentarti #terremoto,not relevant
#terremoto Notizie di danni a Finale Emilia?,no damage
Piccola Scossa ora #terremoto,no damage
#terremoto altra scossa forte adesso alle 5:03 a #bologna... e che palle...,no damage
Altra scossa: più breve molto meno intensa. #firenze #terremoto,no damage
il consiglio per il terremoto che in pochi danno: tenete i cellulari carichi.,no damage
cazzo ancora scosse di terremoto...,no damage
Ancora non è finita? #terremoto,no damage
ancora e siamo a tre! #terremoto,no damage
Scossa di assestamento... #terremoto Mirano (VE),no damage
#terremoto un'altra scossa ancora,no damage
altra scossa ora @hismajestyandre,no damage
Ancora #terremoto a cortina,no damage
Che paura! Ora torno a dormire! #terremoto,no damage
Altra scossa!!! #terremoto,no damage
ora ancora #terremoto,no damage
Terremoto: 3 morti accertati nel Ferrarese (fonte Skytg24),damage
5 piano antisismico = rock&amp;roll #terremoto,no damage
Altra scossetta di assestamento.. #terremoto,no damage
Zio canaia ki cazz dormeee?? #terremoto,no damage
Con la Family esploriamo nuove soluzioni abitative #terremoto http://t.co/jSYWZfcj,not relevant
Altra scossa!!,no damage
@Selenelios morti a Olbia e nel nuorese un disastro #allertameteoSAR,damage
altra scossa a Ravenna! che si fa?? #terremoto #Earthquake,no damage
Ancora.... sciame sismico in questo momento... #terremoto,no damage
#terremoto A Carpi una altra scossa ! forte! Basta!!!!!!!,no damage
La protezione civile regionale “sta monitorando”. Nove morti gente fuori di casa. Monitorano. #allertameteoSAR @Tg3web,damage
non è il #terremoto  è #donnasummer che sta facendo l'ultimo concerto...,not relevant
Altro giro altra corsa senza aver pagato il biglietto. #Terremoto,not relevant
Dopo il #terremoto anche le piogge.. poveretti che grande danno!,damage
Forte scossa di terremoto (46° Richter) al confine tra Marche ed Emilia Romagna. Sentita fino a Trieste.,no damage
5.05 altra scossa a Venezia #terremoto,no damage
#Padova #terremoto altra bella scossa tutti fuori Este,no damage
#terremoto io sono di Firenze e abito al piano terra i lampadari oscillavano da paura,no damage
Ancora! #terremoto Non si dorme!,no damage
