Loading data...
{'sympathy_and_emotional_support': 0, 'not_related_or_irrelevant': 1, 'infrastructure_and_utilities_damage': 2, 'other_useful_information': 3, 'injured_or_dead_people': 4, 'caution_and_advice': 5, 'displaced_people_and_evacuations': 6, 'donation_needs_or_offers_or_volunteering_services': 7, 'missing_trapped_or_found_people': 8}
Max Document length: 2407
Vocabulary Size: 24319
Train/Dev split: 9226/1025
Writing to /home/ubuntu/Project/runs/1550599466

2019-02-19T18:04:28.697950: step 1, loss 13.5969, accuracy 0.125, precision [nan, 0.0, 0.0, 0.0, 0.5, 0.5, nan, 0.0, nan], recall [nan, nan, 0.0, nan, 0.5, 0.1111111111111111, nan, 0.0, nan]
2019-02-19T18:04:31.206617: step 17, loss 17.3552, accuracy 0.125, precision [0.25, 1.0, 0.0, 0.0, nan, 0.0, 0.0, 0.0, nan], recall [0.3333333333333333, 0.16666666666666666, nan, 0.0, 0.0, 0.0, nan, nan, nan]
2019-02-19T18:04:31.360180: step 18, loss 16.1836, accuracy 0.3125, precision [0.0, nan, 0.5, 0.5714285714285714, 0.0, nan, 0.0, 0.0, nan], recall [nan, 0.0, 0.5, 0.5714285714285714, nan, nan, nan, nan, nan]
2019-02-19T18:04:31.511123: step 19, loss 11.3642, accuracy 0.3125, precision [0.0, nan, 0.0, 0.5, 0.5, nan, 0.0, 0.0, nan], recall [0.0, 0.0, 0.0, 0.5714285714285714, 0.5, nan, nan, 0.0, 0.0]
2019-02-19T18:04:31.663134: step 20, loss 7.34603, accuracy 0.4375, precision [1.0, 0.0, 1.0, 0.5555555555555556, 0.0, nan, 0.0, 0.0, nan], recall [1.0, 0.0, 1.0, 0.7142857142857143, nan, 0.0, nan, 0.0, 0.0]
2019-02-19T18:04:31.819146: step 21, loss 9.12985, accuracy 0.25, precision [0.0, 0.0, nan, 0.5714285714285714, 0.0, 0.0, nan, nan, 0.0], recall [0.0, 0.0, 0.0, 0.36363636363636365, nan, nan, nan, nan, 0.0]
2019-02-19T18:04:31.974696: step 22, loss 8.87899, accuracy 0.25, precision [0.0, 0.6666666666666666, 0.0, 0.5, 0.3333333333333333, nan, 0.0, 0.0, nan], recall [0.0, 0.6666666666666666, 0.0, 0.2, 0.5, 0.0, 0.0, 0.0, nan]
2019-02-19T18:04:32.132109: step 23, loss 13.3789, accuracy 0.1875, precision [0.0, 0.0, nan, 0.6666666666666666, 0.25, 0.0, 0.0, 0.0, 0.0], recall [0.0, nan, 0.0, 0.2222222222222222, 0.5, nan, nan, 0.0, nan]
2019-02-19T18:04:32.291489: step 24, loss 7.66588, accuracy 0.4375, precision [nan, 0.25, nan, 0.8, 0.5, 0.0, nan, 0.0, nan], recall [0.0, 1.0, 0.0, 0.6666666666666666, 0.5, nan, 0.0, nan, nan]
2019-02-19T18:04:32.447355: step 25, loss 10.6038, accuracy 0.25, precision [0.0, 0.5, 0.0, 0.4, 0.0, 0.0, nan, 0.0, 0.0], recall [0.0, 0.5, 0.0, 0.3333333333333333, 0.0, nan, 0.0, nan, 0.0]
2019-02-19T18:04:32.603995: step 26, loss 9.26233, accuracy 0.0625, precision [0.0, 0.0, 0.0, 0.1111111111111111, 0.0, nan, 0.0, nan, nan], recall [0.0, 0.0, 0.0, 0.5, 0.0, nan, 0.0, 0.0, nan]
2019-02-19T18:04:32.757047: step 27, loss 9.57285, accuracy 0.3125, precision [0.0, 1.0, 0.0, 0.25, 0.5, 0.0, nan, nan, nan], recall [nan, 1.0, nan, 0.5, 0.16666666666666666, 0.0, 0.0, nan, nan]
2019-02-19T18:04:32.916910: step 28, loss 10.4986, accuracy 0.3125, precision [0.0, 0.3333333333333333, 0.0, 0.25, 0.75, 0.0, nan, nan, nan], recall [nan, 0.3333333333333333, 0.0, 0.25, 0.5, nan, 0.0, 0.0, nan]
2019-02-19T18:04:33.070179: step 29, loss 10.524, accuracy 0.3125, precision [0.5, 0.0, 0.25, 0.3333333333333333, 0.6666666666666666, nan, nan, 0.0, nan], recall [0.3333333333333333, nan, 0.3333333333333333, 0.3333333333333333, 0.6666666666666666, nan, 0.0, 0.0, 0.0]
2019-02-19T18:04:33.225716: step 30, loss 17.2191, accuracy 0.1875, precision [0.0, 0.0, 0.0, 0.3333333333333333, 0.0, 0.0, 0.6666666666666666, 0.0, 0.0], recall [0.0, nan, 0.0, 0.2, 0.0, nan, 0.6666666666666666, nan, nan]
2019-02-19T18:04:33.378764: step 31, loss 13.216, accuracy 0.3125, precision [0.0, 0.0, 0.0, 0.7142857142857143, 0.0, 0.0, nan, 0.0, 0.0], recall [0.0, 0.0, nan, 0.5, 0.0, nan, nan, nan, nan]
2019-02-19T18:04:33.537996: step 32, loss 12.244, accuracy 0.1875, precision [0.0, 0.0, 1.0, 0.5, 0.0, 0.0, nan, 0.0, nan], recall [0.0, nan, 0.3333333333333333, 0.3333333333333333, 0.0, 0.0, nan, 0.0, nan]
2019-02-19T18:04:33.695866: step 33, loss 5.48074, accuracy 0.3125, precision [0.0, 0.5, 1.0, 0.16666666666666666, 1.0, nan, nan, 0.0, nan], recall [0.0, 0.5, 1.0, 0.3333333333333333, 0.2857142857142857, nan, 0.0, nan, nan]
2019-02-19T18:04:33.854145: step 34, loss 7.7179, accuracy 0.3125, precision [0.5, 0.0, 0.0, 0.5, 1.0, 0.0, 0.0, nan, nan], recall [0.5, 0.0, nan, 0.375, 0.3333333333333333, nan, nan, 0.0, 0.0]
2019-02-19T18:04:34.004192: step 35, loss 8.95472, accuracy 0.375, precision [1.0, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.0, nan, 0.0, 0.0, 0.0], recall [0.75, 0.5, 1.0, 0.16666666666666666, 0.0, nan, nan, 0.0, nan]
2019-02-19T18:04:34.157053: step 36, loss 15.465, accuracy 0.0625, precision [1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, nan], recall [0.5, 0.0, 0.0, 0.0, 0.0, nan, 0.0, 0.0, nan]
2019-02-19T18:04:34.316249: step 37, loss 9.38621, accuracy 0.125, precision [nan, 0.0, 0.3333333333333333, 0.2, 0.0, nan, 0.0, 0.0, nan], recall [0.0, 0.0, 0.3333333333333333, 0.3333333333333333, 0.0, 0.0, 0.0, 0.0, 0.0]
2019-02-19T18:04:34.476311: step 38, loss 12.0244, accuracy 0.25, precision [0.5, 0.5, 0.0, 0.2, 0.0, 1.0, 0.0, 0.0, nan], recall [0.5, 0.25, 0.0, 0.3333333333333333, 0.0, 0.5, nan, 0.0, nan]
2019-02-19T18:04:34.636250: step 39, loss 7.93213, accuracy 0.125, precision [0.0, 0.0, nan, 0.16666666666666666, 0.0, 0.0, nan, 1.0, nan], recall [0.0, 0.0, 0.0, 0.25, 0.0, 0.0, nan, 0.3333333333333333, 0.0]
2019-02-19T18:04:34.792413: step 40, loss 8.07665, accuracy 0.125, precision [0.0, 0.3333333333333333, 0.0, 0.3333333333333333, 0.0, 0.0, nan, 0.0, nan], recall [0.0, 0.2, 0.0, 0.25, 0.0, 0.0, 0.0, nan, nan]
2019-02-19T18:04:34.949668: step 41, loss 12.4547, accuracy 0.4375, precision [nan, nan, 1.0, 0.5, 0.0, 1.0, nan, 0.0, 0.0], recall [nan, 0.0, 0.5, 0.75, nan, 0.5, nan, nan, nan]
2019-02-19T18:04:35.109924: step 42, loss 13.4297, accuracy 0.3125, precision [nan, 0.0, 0.0, 0.5, 0.2, nan, 0.0, 1.0, nan], recall [nan, 0.0, 0.0, 0.3333333333333333, 1.0, nan, nan, 1.0, nan]
2019-02-19T18:04:35.268398: step 43, loss 11.6093, accuracy 0.1875, precision [0.0, 0.0, nan, 0.4, 0.0, 0.0, 0.0, 1.0, 0.0], recall [0.0, 0.0, 0.0, 0.6666666666666666, nan, 0.0, nan, 0.16666666666666666, nan]
2019-02-19T18:04:35.424779: step 44, loss 7.90626, accuracy 0.25, precision [1.0, 1.0, 0.0, 0.25, 0.0, nan, 0.0, 0.25, nan], recall [0.5, 1.0, 0.0, 0.25, 0.0, 0.0, nan, 0.3333333333333333, 0.0]
2019-02-19T18:04:35.575450: step 45, loss 9.16019, accuracy 0.1875, precision [0.0, 0.5, 0.3333333333333333, 0.0, 1.0, nan, 0.0, nan, nan], recall [nan, 0.25, 0.5, 0.0, 0.5, 0.0, nan, 0.0, nan]
2019-02-19T18:04:35.729354: step 46, loss 9.94304, accuracy 0.3125, precision [0.0, 1.0, 0.0, 0.5, 0.0, 0.0, nan, 0.5, nan], recall [0.0, 0.5, 0.0, 0.2222222222222222, nan, nan, nan, 1.0, nan]
2019-02-19T18:04:35.883628: step 47, loss 12.6895, accuracy 0.125, precision [0.0, 0.0, nan, 0.6666666666666666, 0.0, 0.0, nan, 0.0, 0.0], recall [0.0, 0.0, 0.0, 0.2222222222222222, 0.0, 0.0, nan, nan, 0.0]
2019-02-19T18:04:36.038156: step 48, loss 13.7592, accuracy 0.1875, precision [0.0, 0.0, 0.0, 0.5, 0.4, nan, 0.0, 0.0, nan], recall [0.0, nan, 0.0, 0.2, 0.5, 0.0, nan, 0.0, 0.0]
2019-02-19T18:04:36.190598: step 49, loss 8.1596, accuracy 0.5, precision [nan, nan, 0.4, 0.7142857142857143, 1.0, 0.0, 0.0, nan, nan], recall [nan, 0.0, 0.6666666666666666, 0.625, 0.5, 0.0, nan, 0.0, nan]
2019-02-19T18:04:36.350517: step 50, loss 8.45243, accuracy 0.4375, precision [1.0, 0.5, nan, 0.3333333333333333, 0.6666666666666666, 0.0, 0.0, nan, nan], recall [0.5, 1.0, 0.0, 1.0, 0.4, 0.0, nan, 0.0, nan]
2019-02-19T18:04:36.507038: step 51, loss 7.50311, accuracy 0.25, precision [0.0, 0.0, 0.0, 0.5, 0.5, nan, 1.0, 0.0, nan], recall [0.0, 0.0, 0.0, 0.6666666666666666, 0.2, nan, 1.0, 0.0, nan]
2019-02-19T18:04:36.660521: step 52, loss 9.98752, accuracy 0.1875, precision [0.0, 0.0, nan, 0.2857142857142857, 1.0, 0.0, nan, 0.0, nan], recall [0.0, 0.0, nan, 0.5, 0.25, 0.0, nan, 0.0, nan]
2019-02-19T18:04:36.819403: step 53, loss 13.6492, accuracy 0.3125, precision [0.0, 0.3333333333333333, 0.5, 0.3333333333333333, nan, nan, 0.0, 1.0, nan], recall [0.0, 0.25, 1.0, 0.5, 0.0, nan, nan, 0.5, nan]
2019-02-19T18:04:36.973800: step 54, loss 10.7413, accuracy 0.3125, precision [0.0, nan, 0.0, 0.3333333333333333, 0.75, 0.0, 0.0, 0.0, nan], recall [0.0, 0.0, 0.0, 0.6666666666666666, 0.5, 0.0, 0.0, 0.0, nan]
2019-02-19T18:04:37.127822: step 55, loss 9.5162, accuracy 0.125, precision [0.3333333333333333, 0.0, nan, 0.0, 0.5, 0.0, 0.0, 0.0, 0.0], recall [0.25, 0.0, nan, 0.0, 0.2, nan, 0.0, 0.0, nan]
2019-02-19T18:04:37.284959: step 56, loss 5.48475, accuracy 0.3125, precision [1.0, 0.25, 0.3333333333333333, 0.3333333333333333, 0.25, nan, 0.0, nan, nan], recall [0.25, 0.5, 1.0, 0.3333333333333333, 0.5, 0.0, nan, 0.0, nan]
2019-02-19T18:04:37.446271: step 57, loss 6.65443, accuracy 0.25, precision [0.5, 1.0, 1.0, 0.0, 0.25, 0.0, nan, 0.0, nan], recall [0.3333333333333333, 0.5, 0.25, 0.0, 0.3333333333333333, 0.0, nan, nan, nan]
2019-02-19T18:04:37.604284: step 58, loss 9.89417, accuracy 0.3125, precision [0.0, 0.0, 0.0, 0.8, 0.5, 0.0, nan, nan, nan], recall [nan, nan, nan, 0.5, 0.3333333333333333, 0.0, 0.0, 0.0, nan]
2019-02-19T18:04:37.755892: step 59, loss 7.64958, accuracy 0.3125, precision [0.5, 0.0, nan, 0.5, 0.6666666666666666, 0.0, nan, 0.0, nan], recall [0.25, 0.0, 0.0, 0.5, 0.6666666666666666, nan, 0.0, 0.0, nan]
2019-02-19T18:04:37.910092: step 60, loss 6.81117, accuracy 0.25, precision [0.5, 0.5, 0.0, 0.2, 0.0, 0.0, nan, 1.0, nan], recall [1.0, 0.25, 0.0, 0.2, 0.0, 0.0, 0.0, 1.0, nan]
2019-02-19T18:04:38.065467: step 61, loss 12.4249, accuracy 0.3125, precision [0.0, 0.5, 0.0, 0.25, 1.0, 0.0, 0.0, 1.0, 0.0], recall [nan, 0.3333333333333333, 0.0, 0.3333333333333333, 0.5, 0.0, 0.0, 0.3333333333333333, nan]
2019-02-19T18:04:38.218118: step 62, loss 5.54433, accuracy 0.375, precision [0.0, 0.0, 0.3333333333333333, 0.8, 0.3333333333333333, 0.0, nan, 0.0, nan], recall [nan, nan, 0.3333333333333333, 0.4444444444444444, 0.5, nan, 0.0, nan, nan]
2019-02-19T18:04:38.371296: step 63, loss 9.63939, accuracy 0.25, precision [0.0, 0.0, 0.0, 0.6, 0.25, nan, 0.0, 0.0, nan], recall [nan, 0.0, nan, 0.6, 1.0, 0.0, 0.0, 0.0, 0.0]
2019-02-19T18:04:38.531068: step 64, loss 6.14844, accuracy 0.25, precision [0.0, 0.0, nan, 0.6666666666666666, 0.0, nan, 0.0, 0.0, nan], recall [nan, 0.0, 0.0, 0.4444444444444444, 0.0, nan, 0.0, nan, nan]
2019-02-19T18:04:38.691743: step 65, loss 6.02848, accuracy 0.375, precision [0.0, 0.5, 0.5, 0.3333333333333333, 1.0, 0.5, nan, 0.0, 0.0], recall [0.0, 0.5, 1.0, 0.2, 1.0, 1.0, 0.0, 0.0, nan]
2019-02-19T18:04:38.849349: step 66, loss 7.14453, accuracy 0.1875, precision [0.5, nan, 0.0, 0.2, 0.0, 0.0, nan, 0.0, 0.0], recall [0.5, 0.0, nan, 0.2, 0.0, 0.0, 0.0, 0.0, 0.0]
2019-02-19T18:04:39.000390: step 67, loss 8.91666, accuracy 0.3125, precision [0.0, 0.6666666666666666, nan, 0.3, nan, nan, nan, 0.0, nan], recall [0.0, 0.6666666666666666, 0.0, 0.6, 0.0, 0.0, nan, nan, nan]
2019-02-19T18:04:39.161950: step 68, loss 9.03739, accuracy 0.25, precision [0.0, nan, 0.5, 0.375, 0.0, nan, 0.0, 0.0, nan], recall [0.0, 0.0, 0.25, 0.6, 0.0, nan, nan, 0.0, nan]
2019-02-19T18:04:39.318234: step 69, loss 8.29441, accuracy 0.25, precision [0.5, 0.2, 0.0, 0.6666666666666666, 0.0, nan, 0.0, 0.0, nan], recall [1.0, 0.3333333333333333, 0.0, 0.3333333333333333, 0.0, 0.0, nan, 0.0, nan]
2019-02-19T18:04:39.470144: step 70, loss 8.91129, accuracy 0.25, precision [0.0, 0.5, 0.0, nan, 0.3333333333333333, 0.0, nan, 0.0, 1.0], recall [0.0, 1.0, nan, 0.0, 1.0, nan, nan, 0.0, 1.0]
2019-02-19T18:04:39.621894: step 71, loss 7.79302, accuracy 0.25, precision [nan, 0.5, 0.0, 0.16666666666666666, 0.2, nan, nan, 0.5, nan], recall [0.0, 1.0, nan, 0.3333333333333333, 0.3333333333333333, 0.0, nan, 0.5, nan]
2019-02-19T18:04:39.776288: step 72, loss 6.82041, accuracy 0.4375, precision [0.6666666666666666, 1.0, 0.5, 0.3333333333333333, 0.5, 0.0, 0.0, 0.3333333333333333, nan], recall [0.6666666666666666, 0.5, 0.5, 0.25, 0.5, 0.0, nan, 0.5, nan]
2019-02-19T18:04:39.930726: step 73, loss 9.97395, accuracy 0.25, precision [0.0, 1.0, 0.0, 0.5, 0.6666666666666666, nan, 0.0, 0.0, nan], recall [0.0, 0.3333333333333333, 0.0, 0.2, 0.4, nan, nan, nan, nan]
2019-02-19T18:04:40.086274: step 74, loss 7.98717, accuracy 0.25, precision [1.0, 0.0, 0.0, 0.4, 0.0, nan, 0.0, 0.0, 0.5], recall [0.25, 0.0, nan, 0.6666666666666666, 0.0, 0.0, nan, 0.0, 0.5]
2019-02-19T18:04:40.239657: step 75, loss 7.17259, accuracy 0.375, precision [0.3333333333333333, 0.5, 1.0, 0.2857142857142857, 1.0, nan, 0.0, nan, 0.0], recall [0.25, 0.5, 0.5, 0.6666666666666666, 0.5, nan, 0.0, 0.0, nan]
2019-02-19T18:04:40.396802: step 76, loss 5.29737, accuracy 0.25, precision [0.0, nan, 0.0, 0.5, 0.3333333333333333, nan, nan, 0.0, nan], recall [0.0, 0.0, nan, 1.0, 0.3333333333333333, 0.0, nan, 0.0, nan]
2019-02-19T18:04:40.553754: step 77, loss 4.99326, accuracy 0.4375, precision [0.0, 1.0, 0.0, 0.5, 0.4, nan, 0.0, nan, 1.0], recall [0.0, 0.5, 0.0, 0.6666666666666666, 1.0, nan, nan, 0.0, 0.5]
2019-02-19T18:04:40.707082: step 78, loss 2.55804, accuracy 0.5, precision [0.0, 0.5, 0.5, 0.3333333333333333, 1.0, nan, nan, 0.6666666666666666, nan], recall [nan, 0.5, 1.0, 1.0, 0.4, 0.0, nan, 0.5, nan]
2019-02-19T18:04:40.862016: step 79, loss 5.65673, accuracy 0.5, precision [nan, 0.0, 1.0, 0.5555555555555556, nan, 0.0, nan, 0.3333333333333333, nan], recall [nan, 0.0, 0.5, 1.0, 0.0, nan, 0.0, 1.0, nan]
2019-02-19T18:04:41.017374: step 80, loss 6.13828, accuracy 0.5, precision [0.0, 1.0, 1.0, 0.25, 0.3333333333333333, 0.0, nan, 0.0, nan], recall [0.0, 1.0, 1.0, 0.2, 0.5, nan, 0.0, 0.0, nan]
2019-02-19T18:04:41.174031: step 81, loss 8.77323, accuracy 0.375, precision [0.0, 0.0, nan, 0.6, 0.5, 0.0, 1.0, 0.0, 0.0], recall [0.0, nan, 0.0, 0.5, 0.5, nan, 1.0, 0.0, nan]
2019-02-19T18:04:41.329533: step 82, loss 8.77106, accuracy 0.25, precision [0.0, 0.5, 0.5, 0.16666666666666666, nan, 0.0, 0.0, 0.3333333333333333, nan], recall [0.0, 1.0, 0.25, 0.2, 0.0, nan, nan, 0.3333333333333333, nan]
2019-02-19T18:04:41.487393: step 83, loss 7.4706, accuracy 0.3125, precision [nan, 0.0, 0.3333333333333333, 0.6666666666666666, 0.0, nan, 0.0, 0.0, nan], recall [0.0, 0.0, 1.0, 0.5, 0.0, nan, nan, 0.0, nan]
2019-02-19T18:04:41.637317: step 84, loss 9.20928, accuracy 0.375, precision [0.0, 0.0, 1.0, 0.625, 0.0, 0.0, nan, 0.0, nan], recall [0.0, nan, 0.2, 0.7142857142857143, 0.0, nan, nan, 0.0, nan]
2019-02-19T18:04:41.789503: step 85, loss 9.25871, accuracy 0.375, precision [nan, 0.0, 0.5, 0.75, 0.5, 0.0, 1.0, 0.0, 0.0], recall [nan, nan, 0.3333333333333333, 0.6, 0.3333333333333333, nan, 0.5, 0.0, nan]
2019-02-19T18:04:41.947482: step 86, loss 9.54041, accuracy 0.4375, precision [0.3333333333333333, 0.25, 0.0, 1.0, 1.0, 0.0, 0.0, nan, nan], recall [0.5, 1.0, nan, 0.2857142857142857, 0.6, nan, 0.0, nan, nan]
2019-02-19T18:04:42.099124: step 87, loss 5.51798, accuracy 0.4375, precision [0.5, 0.3333333333333333, nan, 0.7142857142857143, 0.0, nan, nan, 0.0, nan], recall [1.0, 0.3333333333333333, 0.0, 0.625, 0.0, nan, 0.0, nan, nan]
2019-02-19T18:04:42.254655: step 88, loss 10.0925, accuracy 0.375, precision [1.0, 0.3333333333333333, 0.0, 0.6, 0.5, 0.0, nan, 0.0, nan], recall [0.5, 1.0, nan, 0.42857142857142855, 0.25, nan, 0.0, 0.0, nan]
2019-02-19T18:04:42.409793: step 89, loss 8.06756, accuracy 0.3125, precision [0.0, 0.0, 0.0, 0.6666666666666666, 0.5, nan, 0.0, 1.0, nan], recall [0.0, 0.0, nan, 0.3333333333333333, 0.5, nan, 0.0, 0.3333333333333333, nan]
2019-02-19T18:04:42.566801: step 90, loss 13.8638, accuracy 0.125, precision [0.0, 0.0, nan, 0.25, 0.16666666666666666, 0.0, nan, 0.0, 0.0], recall [nan, 0.0, nan, 0.14285714285714285, 1.0, nan, 0.0, 0.0, nan]
2019-02-19T18:04:42.724937: step 91, loss 10.9134, accuracy 0.0625, precision [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, nan, 1.0, nan], recall [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.25, nan]
2019-02-19T18:04:42.873047: step 92, loss 5.4377, accuracy 0.5, precision [nan, 0.5, 0.5, 0.5555555555555556, 0.0, nan, nan, 0.5, nan], recall [0.0, 0.5, 1.0, 0.8333333333333334, 0.0, 0.0, nan, 0.3333333333333333, 0.0]
2019-02-19T18:04:43.024633: step 93, loss 5.32297, accuracy 0.3125, precision [1.0, nan, 0.0, 0.3333333333333333, 0.0, 0.0, nan, 1.0, nan], recall [0.2, 0.0, 0.0, 0.75, 0.0, nan, nan, 1.0, nan]
2019-02-19T18:04:43.173687: step 94, loss 8.63794, accuracy 0.1875, precision [nan, 0.0, 0.0, 0.3333333333333333, 0.25, 0.0, 0.0, nan, 0.0], recall [0.0, 0.0, nan, 0.3333333333333333, 0.5, nan, nan, 0.0, nan]
2019-02-19T18:04:43.326550: step 95, loss 9.08005, accuracy 0.25, precision [0.3333333333333333, 0.3333333333333333, 0.0, 0.3333333333333333, 0.0, 0.0, nan, nan, nan], recall [1.0, 0.25, nan, 0.5, nan, 0.0, nan, 0.0, nan]
2019-02-19T18:04:43.483547: step 96, loss 5.62755, accuracy 0.375, precision [0.0, 0.3333333333333333, 0.0, 0.3333333333333333, 0.6666666666666666, 0.0, nan, 1.0, nan], recall [0.0, 0.25, 0.0, 0.5, 1.0, 0.0, 0.0, 1.0, 0.0]
2019-02-19T18:04:43.638230: step 97, loss 6.61212, accuracy 0.25, precision [0.0, 0.3333333333333333, 0.0, 0.3333333333333333, 1.0, nan, nan, 0.0, nan], recall [0.0, 0.25, nan, 0.4, 0.5, 0.0, 0.0, 0.0, 0.0]
2019-02-19T18:04:43.789252: step 98, loss 6.60553, accuracy 0.375, precision [0.0, 0.0, 0.3333333333333333, 1.0, 0.5, nan, 0.0, nan, nan], recall [0.0, 0.0, 1.0, 0.75, 0.4, nan, nan, 0.0, nan]
2019-02-19T18:04:43.947528: step 99, loss 7.04714, accuracy 0.1875, precision [nan, 0.0, nan, 0.14285714285714285, 0.25, 0.0, nan, 1.0, nan], recall [0.0, 0.0, 0.0, 0.3333333333333333, 0.2, 0.0, nan, 1.0, nan]
2019-02-19T18:04:44.100509: step 100, loss 11.0379, accuracy 0.1875, precision [0.0, nan, 0.25, 0.5, 0.0, 0.0, 0.0, 0.0, nan], recall [0.0, nan, 0.2, 0.5, 0.0, 0.0, nan, 0.0, 0.0]
2019-02-19T18:04:44.256259: step 101, loss 7.51344, accuracy 0.25, precision [0.0, nan, 0.4, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0], recall [0.0, 0.0, 0.6666666666666666, 0.3333333333333333, 0.25, 0.0, nan, nan, 0.0]
2019-02-19T18:04:44.409553: step 102, loss 6.8723, accuracy 0.375, precision [1.0, nan, nan, 0.5, 0.5, 0.0, 0.0, 0.0, nan], recall [0.5, 0.0, 0.0, 0.6, 0.5, nan, 0.0, nan, nan]
