Loading data...
{'sympathy_and_emotional_support': 0, 'not_related_or_irrelevant': 1, 'infrastructure_and_utilities_damage': 2, 'other_useful_information': 3, 'injured_or_dead_people': 4, 'caution_and_advice': 5, 'displaced_people_and_evacuations': 6, 'donation_needs_or_offers_or_volunteering_services': 7, 'missing_trapped_or_found_people': 8}
Max Document length: 2407
Vocabulary Size: 1
Train/Dev split: 9226/1025
Writing to /home/ubuntu/Project/runs/1550605378

2019-02-19T19:43:00.992332: step 1, loss 11.988, accuracy 0.0625, precision [0.0, 0.25, nan, 0.0, 0.0, nan, 0.0, 0.0, nan], recall [0.0, 0.125, nan, 0.0, 0.0, nan, 0.0, nan, nan]
2019-02-19T19:43:03.643469: step 18, loss 6.1883, accuracy 0.25, precision [0.0, nan, 0.0, 0.16666666666666666, 0.75, nan, nan, 0.0, nan], recall [0.0, nan, nan, 0.2, 0.6, nan, 0.0, 0.0, nan]
2019-02-19T19:43:03.799957: step 19, loss 7.3637, accuracy 0.1875, precision [nan, 0.0, 0.0, 0.2857142857142857, 0.3333333333333333, nan, nan, nan, 0.0], recall [0.0, nan, nan, 0.4, 0.25, nan, 0.0, 0.0, nan]
2019-02-19T19:43:03.952230: step 20, loss 8.00662, accuracy 0.125, precision [0.0, 0.0, 0.0, 0.2857142857142857, nan, nan, 0.0, 0.0, nan], recall [0.0, 0.0, nan, 0.6666666666666666, 0.0, 0.0, nan, 0.0, nan]
2019-02-19T19:43:04.106409: step 21, loss 4.43756, accuracy 0.25, precision [nan, 0.0, 0.0, 0.5, 0.5, nan, 0.0, 0.0, nan], recall [0.0, 0.0, nan, 0.5, 0.16666666666666666, nan, nan, 0.0, nan]
2019-02-19T19:43:04.263841: step 22, loss 7.0485, accuracy 0.25, precision [0.0, 0.5, 0.0, 0.6666666666666666, nan, 0.0, 0.0, 0.0, nan], recall [0.0, 0.6666666666666666, nan, 0.2, nan, nan, nan, 0.0, nan]
2019-02-19T19:43:04.419549: step 23, loss 6.69932, accuracy 0.25, precision [nan, 0.0, 0.0, 0.6666666666666666, 0.0, nan, nan, 0.0, 0.0], recall [0.0, nan, 0.0, 0.4, nan, nan, nan, 0.0, nan]
2019-02-19T19:43:04.573973: step 24, loss 7.5443, accuracy 0.0625, precision [nan, 0.0, 0.0, 0.2, 0.0, 0.0, 0.0, 0.0, nan], recall [nan, 0.0, 0.0, 0.1111111111111111, nan, nan, nan, 0.0, nan]
2019-02-19T19:43:04.732446: step 25, loss 5.95731, accuracy 0.25, precision [nan, 0.5, 0.25, 0.4, 0.0, nan, nan, 0.0, 0.0], recall [0.0, 0.2, 0.25, 0.5, 0.0, nan, nan, 0.0, nan]
2019-02-19T19:43:04.887572: step 26, loss 6.92521, accuracy 0, precision [0.0, 0.0, nan, 0.0, 0.0, nan, nan, 0.0, nan], recall [0.0, 0.0, 0.0, 0.0, 0.0, nan, nan, 0.0, nan]
2019-02-19T19:43:05.040829: step 27, loss 7.14045, accuracy 0.1875, precision [nan, 0.0, 0.3333333333333333, 0.3333333333333333, 0.0, 0.0, nan, 0.0, nan], recall [nan, 0.0, 0.16666666666666666, 0.5, 0.0, nan, nan, 0.0, nan]
2019-02-19T19:43:05.198519: step 28, loss 4.93523, accuracy 0.25, precision [0.0, 1.0, 1.0, 0.0, 0.3333333333333333, 0.0, nan, 0.0, nan], recall [0.0, 0.2, 0.4, 0.0, 1.0, nan, nan, 0.0, nan]
2019-02-19T19:43:05.353400: step 29, loss 5.17176, accuracy 0.3125, precision [0.0, 1.0, 0.3333333333333333, 0.5, 0.2, nan, 0.0, 0.0, nan], recall [nan, 0.5, 0.2, 1.0, 0.25, nan, nan, 0.0, nan]
2019-02-19T19:43:05.506116: step 30, loss 4.75092, accuracy 0.1875, precision [1.0, 0.0, 0.0, 0.14285714285714285, 0.3333333333333333, nan, nan, nan, 0.0], recall [1.0, 0.0, 0.0, 0.5, 0.14285714285714285, 0.0, nan, 0.0, nan]
2019-02-19T19:43:05.658121: step 31, loss 7.32689, accuracy 0.1875, precision [nan, nan, 0.3333333333333333, 0.0, 0.25, 0.0, nan, 0.3333333333333333, 0.0], recall [nan, 0.0, 0.25, nan, 0.14285714285714285, nan, nan, 0.3333333333333333, nan]
2019-02-19T19:43:05.809104: step 32, loss 4.3758, accuracy 0.3125, precision [0.0, 0.3333333333333333, 0.5, 0.4, 0.5, nan, 0.0, 0.0, nan], recall [0.0, 0.5, 0.5, 1.0, 0.5, nan, nan, 0.0, nan]
2019-02-19T19:43:05.967502: step 33, loss 5.59442, accuracy 0.0625, precision [0.0, 0.0, 0.0, 0.25, 0.0, 0.0, nan, nan, nan], recall [0.0, nan, nan, 0.16666666666666666, 0.0, 0.0, nan, 0.0, nan]
2019-02-19T19:43:06.121274: step 34, loss 4.54339, accuracy 0.125, precision [0.16666666666666666, 0.0, nan, 0.3333333333333333, nan, 0.0, nan, 0.0, nan], recall [1.0, 0.0, nan, 0.14285714285714285, 0.0, 0.0, nan, 0.0, nan]
2019-02-19T19:43:06.275355: step 35, loss 3.30921, accuracy 0.25, precision [nan, 0.0, 0.0, 0.375, 0.0, 1.0, 0.0, 0.0, nan], recall [0.0, 0.0, nan, 0.5, 0.0, 0.25, 0.0, nan, nan]
2019-02-19T19:43:06.427383: step 36, loss 3.07722, accuracy 0.3125, precision [0.0, 0.25, 0.0, 0.8, 0.0, nan, nan, 0.0, nan], recall [nan, 1.0, nan, 0.3333333333333333, 0.0, 0.0, nan, nan, nan]
2019-02-19T19:43:06.578626: step 37, loss 5.81302, accuracy 0.1875, precision [0.0, 1.0, 0.0, 0.3333333333333333, 0.0, 0.0, nan, 0.25, nan], recall [0.0, 1.0, nan, 0.1111111111111111, 0.0, 0.0, 0.0, 0.5, nan]
2019-02-19T19:43:06.730514: step 38, loss 3.95517, accuracy 0.25, precision [0.0, 0.0, 0.0, 0.5, 0.5, nan, 0.0, 0.5, 0.0], recall [0.0, 0.0, 0.0, 0.4, 1.0, 0.0, 0.0, 1.0, 0.0]
2019-02-19T19:43:06.879595: step 39, loss 4.9398, accuracy 0.0625, precision [0.0, 0.0, 0.0, 0.14285714285714285, nan, 0.0, nan, nan, 0.0], recall [nan, 0.0, 0.0, 0.3333333333333333, 0.0, 0.0, 0.0, 0.0, 0.0]
2019-02-19T19:43:07.028889: step 40, loss 3.94293, accuracy 0.1875, precision [0.5, 0.3333333333333333, 0.0, 0.0, 0.5, 0.0, nan, 0.0, nan], recall [0.3333333333333333, 0.16666666666666666, 0.0, 0.0, 1.0, nan, 0.0, 0.0, nan]
2019-02-19T19:43:07.184200: step 41, loss 2.99759, accuracy 0.25, precision [0.0, 0.5, 0.0, 0.3333333333333333, 0.0, nan, 0.0, 0.3333333333333333, nan], recall [0.0, 0.6666666666666666, 0.0, 0.3333333333333333, 0.0, 0.0, nan, 0.5, nan]
2019-02-19T19:43:07.335585: step 42, loss 3.10569, accuracy 0.25, precision [nan, 0.0, 0.0, 0.3333333333333333, 0.3333333333333333, nan, nan, 0.5, nan], recall [0.0, 0.0, 0.0, 0.5, 0.25, 0.0, nan, 1.0, nan]
2019-02-19T19:43:07.487230: step 43, loss 4.48698, accuracy 0.0625, precision [0.0, nan, 0.0, 0.14285714285714285, 0.0, nan, nan, 0.0, 0.0], recall [0.0, 0.0, 0.0, 0.2, 0.0, nan, nan, 0.0, nan]
2019-02-19T19:43:07.642756: step 44, loss 4.62675, accuracy 0.3125, precision [0.0, 0.3333333333333333, 1.0, 0.4, 0.0, nan, nan, 0.3333333333333333, 0.0], recall [nan, 0.5, 0.25, 1.0, 0.0, nan, nan, 0.25, 0.0]
2019-02-19T19:43:07.794308: step 45, loss 2.95385, accuracy 0.25, precision [nan, 0.0, nan, 0.42857142857142855, 0.2, 0.0, nan, nan, 0.0], recall [0.0, 0.0, 0.0, 0.75, 0.5, nan, nan, 0.0, nan]
2019-02-19T19:43:07.946613: step 46, loss 4.45115, accuracy 0.125, precision [nan, 0.25, nan, 0.2, 0.0, 0.0, nan, 0.0, 0.0], recall [nan, 0.3333333333333333, 0.0, 0.14285714285714285, nan, nan, nan, 0.0, nan]
2019-02-19T19:43:08.099047: step 47, loss 3.99096, accuracy 0.125, precision [0.0, nan, 0.0, 0.25, 0.0, nan, 0.0, 0.0, nan], recall [0.0, 0.0, 0.0, 0.2857142857142857, 0.0, nan, nan, nan, nan]
2019-02-19T19:43:08.252411: step 48, loss 3.54209, accuracy 0.375, precision [0.0, 0.5, nan, 0.6666666666666666, 0.3333333333333333, nan, 0.0, nan, nan], recall [nan, 0.2, nan, 0.4444444444444444, 1.0, nan, nan, 0.0, nan]
2019-02-19T19:43:08.400926: step 49, loss 3.94675, accuracy 0.1875, precision [0.0, 0.0, nan, 0.4, 0.3333333333333333, nan, 0.0, 0.0, nan], recall [0.0, 0.0, 0.0, 0.3333333333333333, 0.3333333333333333, nan, nan, 0.0, 0.0]
2019-02-19T19:43:08.553193: step 50, loss 3.43681, accuracy 0.375, precision [0.3333333333333333, 0.0, nan, 1.0, 0.0, 0.0, nan, 0.0, 0.0], recall [1.0, 0.0, nan, 0.5, 0.0, nan, nan, nan, 0.0]
2019-02-19T19:43:08.700186: step 51, loss 3.99099, accuracy 0.25, precision [0.0, 0.0, 0.0, 0.8, 0.0, nan, nan, nan, nan], recall [nan, nan, nan, 0.3076923076923077, 0.0, nan, nan, 0.0, 0.0]
2019-02-19T19:43:08.852342: step 52, loss 3.46614, accuracy 0.3125, precision [nan, 0.25, 0.0, 0.75, 0.16666666666666666, nan, nan, 0.0, nan], recall [nan, 1.0, 0.0, 0.3, 0.25, nan, nan, nan, nan]
2019-02-19T19:43:09.007997: step 53, loss 3.02497, accuracy 0.5, precision [0.0, nan, nan, 0.5, 0.8333333333333334, nan, 0.0, 0.0, 0.0], recall [0.0, 0.0, nan, 0.75, 0.625, nan, 0.0, nan, nan]
2019-02-19T19:43:09.162909: step 54, loss 3.94156, accuracy 0.1875, precision [0.0, 1.0, 0.0, 0.125, 1.0, 0.0, 0.0, 0.0, nan], recall [0.0, 0.25, nan, 1.0, 0.125, 0.0, nan, nan, nan]
2019-02-19T19:43:09.315357: step 55, loss 4.74921, accuracy 0.1875, precision [0.0, 0.0, 0.0, 0.5, 1.0, 0.0, nan, 0.0, 0.0], recall [0.0, nan, nan, 0.4, 0.14285714285714285, nan, 0.0, nan, 0.0]
2019-02-19T19:43:09.471477: step 56, loss 3.25906, accuracy 0.25, precision [0.0, 0.0, 0.0, 0.5, 0.4, nan, 0.0, nan, 0.0], recall [0.0, nan, 0.0, 0.4, 0.25, nan, nan, nan, 0.0]
2019-02-19T19:43:09.621906: step 57, loss 2.5513, accuracy 0.5, precision [0.0, 1.0, nan, 0.6666666666666666, 0.75, 0.0, nan, 0.0, nan], recall [0.0, 1.0, nan, 0.6666666666666666, 1.0, nan, nan, 0.0, 0.0]
2019-02-19T19:43:09.778337: step 58, loss 2.35659, accuracy 0.3125, precision [nan, 0.3333333333333333, 0.0, 0.3333333333333333, 0.5, nan, nan, nan, nan], recall [0.0, 1.0, 0.0, 0.75, 0.16666666666666666, nan, 0.0, nan, nan]
2019-02-19T19:43:09.926456: step 59, loss 2.69318, accuracy 0.3125, precision [0.0, 0.5, nan, 0.6666666666666666, 0.3333333333333333, 0.0, 0.0, 0.0, nan], recall [0.0, 1.0, 0.0, 0.25, 0.6666666666666666, nan, nan, nan, 0.0]
2019-02-19T19:43:10.077636: step 60, loss 2.92832, accuracy 0.25, precision [nan, 0.0, nan, 0.2857142857142857, 0.5, 0.0, 0.0, 0.0, nan], recall [0.0, 0.0, 0.0, 0.2857142857142857, 0.6666666666666666, nan, 0.0, nan, nan]
2019-02-19T19:43:10.228194: step 61, loss 3.05262, accuracy 0.25, precision [nan, nan, 0.0, 0.6666666666666666, 0.0, nan, 0.0, nan, nan], recall [0.0, nan, 0.0, 0.36363636363636365, nan, 0.0, nan, nan, nan]
2019-02-19T19:43:10.379588: step 62, loss 2.90863, accuracy 0.1875, precision [0.0, 0.0, 0.0, 0.6, 0.0, 0.0, 0.0, 0.0, nan], recall [nan, 0.0, 0.0, 0.42857142857142855, 0.0, nan, nan, 0.0, nan]
2019-02-19T19:43:10.531567: step 63, loss 2.98138, accuracy 0.0625, precision [0.0, nan, 0.0, 0.16666666666666666, 0.0, 0.0, nan, 0.0, nan], recall [nan, 0.0, 0.0, 0.3333333333333333, 0.0, 0.0, 0.0, 0.0, nan]
2019-02-19T19:43:10.687752: step 64, loss 2.32138, accuracy 0.25, precision [0.0, 0.0, nan, 0.5, 1.0, 0.0, nan, 1.0, nan], recall [nan, nan, 0.0, 0.2857142857142857, 1.0, 0.0, 0.0, 0.3333333333333333, nan]
2019-02-19T19:43:10.837187: step 65, loss 2.7365, accuracy 0.125, precision [nan, 0.0, 0.0, 0.2, 0.0, 0.5, 0.0, 0.0, nan], recall [nan, 0.0, 0.0, 0.14285714285714285, 0.0, 0.3333333333333333, 0.0, 0.0, nan]
2019-02-19T19:43:10.989415: step 66, loss 2.54982, accuracy 0.1875, precision [0.5, 0.0, 0.0, 0.5, 0.0, nan, 0.0, 0.0, nan], recall [1.0, 0.0, nan, 0.4, 0.0, 0.0, nan, 0.0, nan]
2019-02-19T19:43:11.138955: step 67, loss 3.4169, accuracy 0.125, precision [0.0, 0.2, 0.0, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0], recall [0.0, 1.0, 0.0, 0.2, 0.0, 0.0, nan, 0.0, nan]
2019-02-19T19:43:11.289474: step 68, loss 2.58558, accuracy 0.25, precision [0.0, 0.25, 0.0, 0.5, 0.5, 0.0, nan, 0.5, nan], recall [0.0, 0.25, 0.0, 0.5, 0.25, 0.0, 0.0, 1.0, nan]
2019-02-19T19:43:11.442314: step 69, loss 2.73185, accuracy 0.1875, precision [0.0, 0.0, nan, 0.2, 0.6666666666666666, 0.0, nan, nan, 0.0], recall [nan, 0.0, 0.0, 0.2, 0.5, 0.0, 0.0, 0.0, nan]
2019-02-19T19:43:11.595659: step 70, loss 4.36611, accuracy 0.1875, precision [nan, 1.0, 0.0, 0.14285714285714285, 1.0, 0.0, 0.0, 0.0, 0.0], recall [0.0, 0.5, nan, 0.5, 0.125, 0.0, nan, nan, nan]
2019-02-19T19:43:11.750338: step 71, loss 3.01472, accuracy 0.125, precision [nan, 0.0, nan, 0.2857142857142857, nan, nan, 0.0, 0.0, 0.0], recall [nan, 0.0, 0.0, 1.0, 0.0, 0.0, nan, nan, nan]
2019-02-19T19:43:11.901553: step 72, loss 2.84009, accuracy 0.3125, precision [0.0, 0.3333333333333333, 0.0, 0.5, 0.6666666666666666, 0.0, nan, 0.0, nan], recall [nan, 0.2, nan, 0.6666666666666666, 0.3333333333333333, nan, nan, 0.0, nan]
2019-02-19T19:43:12.052726: step 73, loss 2.65538, accuracy 0.1875, precision [nan, 0.0, 0.0, 0.25, 0.3333333333333333, nan, nan, 0.0, nan], recall [0.0, 0.0, nan, 0.3333333333333333, 0.25, nan, 0.0, nan, nan]
2019-02-19T19:43:12.204520: step 74, loss 2.62874, accuracy 0.125, precision [0.0, 1.0, 0.0, 0.25, 0.0, 0.0, nan, 0.0, nan], recall [0.0, 0.25, nan, 0.1, 0.0, nan, nan, nan, nan]
2019-02-19T19:43:12.357548: step 75, loss 3.11018, accuracy 0.1875, precision [0.0, 0.0, 0.0, 0.5, 0.3333333333333333, nan, 0.0, 0.5, 0.0], recall [0.0, 0.0, nan, 0.1, 1.0, nan, nan, 1.0, nan]
2019-02-19T19:43:12.514504: step 76, loss 2.26362, accuracy 0.3125, precision [nan, 0.3333333333333333, 0.0, 1.0, 0.0, nan, nan, 0.0, 0.0], recall [0.0, 0.6666666666666666, 0.0, 0.375, nan, 0.0, nan, 0.0, nan]
2019-02-19T19:43:12.665812: step 77, loss 2.82463, accuracy 0.25, precision [nan, 0.0, 0.0, 0.75, 0.0, nan, 0.0, 0.5, 0.0], recall [nan, 0.0, nan, 0.3333333333333333, 0.0, 0.0, nan, 0.3333333333333333, nan]
2019-02-19T19:43:12.823075: step 78, loss 2.55395, accuracy 0.25, precision [0.0, 0.0, 0.0, 0.6666666666666666, 1.0, nan, 0.0, 0.0, nan], recall [nan, 0.0, 0.0, 0.2857142857142857, 0.6666666666666666, nan, nan, 0.0, nan]
2019-02-19T19:43:12.971775: step 79, loss 2.62198, accuracy 0.5, precision [0.0, nan, 0.5, 1.0, 0.4, nan, nan, 1.0, 0.0], recall [nan, nan, 1.0, 1.0, 1.0, 0.0, nan, 0.14285714285714285, 0.0]
2019-02-19T19:43:13.126133: step 80, loss 2.53892, accuracy 0.25, precision [nan, 0.0, 1.0, 1.0, 0.25, 0.0, 0.0, 0.0, 0.0], recall [nan, nan, 0.4, 0.25, 0.5, 0.0, 0.0, 0.0, nan]
2019-02-19T19:43:13.279854: step 81, loss 1.95778, accuracy 0.25, precision [0.0, 0.6, 1.0, 0.0, 0.0, 0.0, nan, nan, nan], recall [nan, 1.0, 0.125, nan, 0.0, nan, nan, 0.0, 0.0]
2019-02-19T19:43:13.433357: step 82, loss 2.37635, accuracy 0.1875, precision [0.0, 0.0, 0.5, 0.2857142857142857, 0.0, 0.0, nan, nan, nan], recall [0.0, 0.0, 0.16666666666666666, 1.0, 0.0, nan, nan, 0.0, 0.0]
2019-02-19T19:43:13.586146: step 83, loss 2.81221, accuracy 0.1875, precision [0.0, 0.0, 0.3333333333333333, 0.0, 0.4, 0.0, nan, 0.0, nan], recall [0.0, 0.0, 0.3333333333333333, nan, 0.3333333333333333, 0.0, nan, 0.0, 0.0]
2019-02-19T19:43:13.740607: step 84, loss 2.00394, accuracy 0.3125, precision [0.25, 0.0, 1.0, 0.0, 0.75, nan, 0.0, nan, nan], recall [1.0, 0.0, 0.2, 0.0, 0.6, nan, nan, nan, nan]
2019-02-19T19:43:13.892524: step 85, loss 2.77567, accuracy 0.125, precision [0.6666666666666666, 0.0, 0.0, 0.0, nan, nan, nan, 0.0, 0.0], recall [1.0, 0.0, nan, 0.0, 0.0, nan, nan, 0.0, nan]
2019-02-19T19:43:14.043075: step 86, loss 2.53654, accuracy 0.25, precision [nan, 1.0, 0.0, 0.0, 0.6, nan, nan, 0.0, nan], recall [0.0, 1.0, 0.0, 0.0, 0.3, nan, nan, nan, nan]
2019-02-19T19:43:14.196191: step 87, loss 1.91762, accuracy 0.25, precision [0.3333333333333333, 0.0, 0.25, nan, 0.5, nan, nan, nan, 0.0], recall [0.5, 0.0, 0.3333333333333333, 0.0, 0.2222222222222222, nan, nan, nan, nan]
2019-02-19T19:43:14.354433: step 88, loss 2.12461, accuracy 0.3125, precision [0.3333333333333333, 0.3333333333333333, 0.25, 0.0, 1.0, nan, nan, 0.0, nan], recall [0.3333333333333333, 0.5, 0.5, 0.0, 0.2857142857142857, nan, nan, nan, nan]
2019-02-19T19:43:14.509997: step 89, loss 2.51898, accuracy 0.25, precision [0.0, 1.0, 0.25, 0.0, 1.0, nan, nan, 0.0, nan], recall [0.0, 0.2, 0.5, nan, 0.4, nan, nan, nan, 0.0]
2019-02-19T19:43:14.659196: step 90, loss 1.71984, accuracy 0.3125, precision [0.0, 0.0, 0.5, 0.0, 0.8, 0.0, nan, 0.0, nan], recall [0.0, 0.0, 0.3333333333333333, 0.0, 0.5, nan, 0.0, 0.0, nan]
2019-02-19T19:43:14.813809: step 91, loss 2.16918, accuracy 0.3125, precision [0.0, 0.25, 1.0, 0.75, 0.0, nan, nan, 0.0, nan], recall [0.0, 1.0, 0.16666666666666666, 0.5, nan, nan, nan, nan, nan]
2019-02-19T19:43:14.968792: step 92, loss 2.05076, accuracy 0.125, precision [0.0, 0.0, 0.0, 0.2857142857142857, 0.0, nan, nan, 0.0, 0.0], recall [0.0, 0.0, 0.0, 0.4, 0.0, nan, 0.0, nan, nan]
2019-02-19T19:43:15.119604: step 93, loss 1.9399, accuracy 0.125, precision [nan, 1.0, nan, 0.0, 0.0, nan, 0.0, 0.3333333333333333, nan], recall [nan, 0.14285714285714285, 0.0, 0.0, 0.0, nan, nan, 0.5, nan]
2019-02-19T19:43:15.269724: step 94, loss 1.79085, accuracy 0.125, precision [0.0, 0.2, 0.0, 0.25, 0.0, nan, nan, 0.0, nan], recall [nan, 0.25, 0.0, 0.16666666666666666, nan, nan, nan, 0.0, nan]
2019-02-19T19:43:15.421976: step 95, loss 2.93722, accuracy 0.25, precision [nan, 1.0, 0.0, 0.3333333333333333, 0.0, 0.0, nan, 0.0, nan], recall [nan, 0.25, 0.0, 0.4, nan, nan, 0.0, nan, 0.0]
2019-02-19T19:43:15.573295: step 96, loss 2.50653, accuracy 0.1875, precision [0.5, 0.0, 0.0, 0.4, 0.0, nan, 0.0, 0.0, 0.0], recall [1.0, 0.0, 0.0, 0.2857142857142857, nan, nan, nan, 0.0, nan]
2019-02-19T19:43:15.726172: step 97, loss 1.78947, accuracy 0.25, precision [0.0, 0.3333333333333333, 0.0, 0.6, 0.0, nan, 0.0, 0.0, nan], recall [0.0, 0.25, nan, 0.3333333333333333, nan, nan, 0.0, 0.0, nan]
2019-02-19T19:43:15.874810: step 98, loss 2.60662, accuracy 0.25, precision [0.0, 0.0, nan, 0.5714285714285714, 0.0, 0.0, nan, 0.0, 0.0], recall [nan, 0.0, 0.0, 0.5714285714285714, nan, nan, 0.0, 0.0, nan]
2019-02-19T19:43:16.027172: step 99, loss 2.05096, accuracy 0.1875, precision [0.0, 0.0, nan, 0.75, 0.0, 0.0, 0.0, 0.0, nan], recall [nan, nan, nan, 0.23076923076923078, nan, nan, nan, 0.0, nan]
2019-02-19T19:43:16.180058: step 100, loss 2.0487, accuracy 0.375, precision [0.0, nan, 0.0, 0.8, 0.5, 0.0, 0.0, 0.0, nan], recall [nan, nan, nan, 0.4444444444444444, 0.5, nan, nan, 0.0, nan]
2019-02-19T19:43:16.334357: step 101, loss 2.18878, accuracy 0.125, precision [0.0, 0.0, 0.0, 0.5, 0.0, 0.0, nan, 0.0, nan], recall [0.0, 0.0, 0.0, 0.2222222222222222, 0.0, 0.0, nan, 0.0, nan]
2019-02-19T19:43:16.485107: step 102, loss 2.42021, accuracy 0.125, precision [0.0, 0.0, 0.0, 0.0, 0.25, 0.0, 0.0, 0.5, 0.0], recall [0.0, nan, 0.0, 0.0, 0.3333333333333333, nan, nan, 0.16666666666666666, nan]
2019-02-19T19:43:16.634600: step 103, loss 1.92126, accuracy 0.3125, precision [0.0, 0.0, 0.0, 0.8333333333333334, 0.0, nan, nan, 0.0, nan], recall [0.0, nan, nan, 0.45454545454545453, 0.0, 0.0, nan, 0.0, nan]
2019-02-19T19:43:16.792715: step 104, loss 1.97382, accuracy 0.1875, precision [nan, 0.0, nan, 0.3333333333333333, 0.0, 0.0, 0.0, 0.3333333333333333, 0.0], recall [0.0, nan, nan, 0.4, 0.0, 0.0, nan, 0.25, nan]
2019-02-19T19:43:16.942932: step 105, loss 1.67588, accuracy 0.375, precision [1.0, 0.0, 0.0, 0.4, 0.6666666666666666, 0.0, 0.0, 1.0, nan], recall [0.3333333333333333, nan, nan, 0.5, 0.4, nan, nan, 0.25, nan]
