Loading data...
{'sympathy_and_emotional_support': 0, 'not_related_or_irrelevant': 1, 'infrastructure_and_utilities_damage': 2, 'other_useful_information': 3, 'injured_or_dead_people': 4, 'caution_and_advice': 5, 'displaced_people_and_evacuations': 6, 'donation_needs_or_offers_or_volunteering_services': 7, 'missing_trapped_or_found_people': 8}
Max Document length: 2407
Vocabulary Size: 1
Train/Dev split: 9226/1025
Writing to /home/ubuntu/Project/runs/1550606084

2019-02-19T19:54:46.199786: step 1, loss 10.4362, accuracy 0.125, precision [0.0, 1.0, 0.0, 0.1111111111111111, nan, 0.0, nan, 0.0, nan], recall [nan, 0.25, nan, 0.3333333333333333, 0.0, nan, 0.0, 0.0, 0.0]
2019-02-19T19:54:50.249372: step 27, loss 6.17835, accuracy 0.25, precision [1.0, 0.0, 0.0, 0.6666666666666666, 0.25, 0.0, nan, 0.0, 0.0], recall [0.25, nan, nan, 0.2222222222222222, 0.3333333333333333, nan, nan, nan, nan]
2019-02-19T19:54:50.404513: step 28, loss 5.88584, accuracy 0.25, precision [0.0, 0.5, 0.0, 0.3333333333333333, 1.0, 0.0, 0.0, 0.0, nan], recall [nan, 0.3333333333333333, nan, 0.6666666666666666, 0.14285714285714285, 0.0, nan, 0.0, nan]
2019-02-19T19:54:50.559486: step 29, loss 5.14078, accuracy 0.125, precision [0.0, 0.0, 0.0, 0.16666666666666666, 0.14285714285714285, nan, nan, nan, nan], recall [0.0, nan, nan, 0.16666666666666666, 0.16666666666666666, 0.0, nan, 0.0, nan]
2019-02-19T19:54:50.712047: step 30, loss 4.64485, accuracy 0.125, precision [0.0, 0.25, nan, 0.2, 0.0, 0.0, 0.0, 0.0, nan], recall [0.0, 0.25, nan, 0.2, 0.0, 0.0, nan, nan, nan]
2019-02-19T19:54:50.866943: step 31, loss 6.46918, accuracy 0.125, precision [0.5, 0.0, 0.0, 0.25, nan, nan, 0.0, 0.0, nan], recall [0.5, 0.0, nan, 0.16666666666666666, 0.0, nan, nan, 0.0, nan]
2019-02-19T19:54:51.017614: step 32, loss 4.25606, accuracy 0.1875, precision [nan, 1.0, 0.0, 0.3333333333333333, 0.0, 0.0, nan, 0.0, nan], recall [0.0, 0.25, nan, 0.2857142857142857, 0.0, nan, nan, 0.0, nan]
2019-02-19T19:54:51.173401: step 33, loss 4.6566, accuracy 0.25, precision [0.3333333333333333, nan, nan, 0.4, 0.2, 0.0, nan, 0.0, nan], recall [0.5, 0.0, nan, 0.6666666666666666, 0.5, nan, nan, 0.0, nan]
2019-02-19T19:54:51.333173: step 34, loss 5.11521, accuracy 0.25, precision [0.5, nan, 0.0, 0.4, 0.0, 0.0, 0.0, 0.5, nan], recall [0.16666666666666666, 0.0, nan, 0.4, nan, nan, nan, 0.3333333333333333, nan]
2019-02-19T19:54:51.484762: step 35, loss 4.89814, accuracy 0.0625, precision [0.0, 0.3333333333333333, 0.0, 0.0, 0.0, nan, 0.0, 0.0, nan], recall [0.0, 0.16666666666666666, nan, 0.0, 0.0, nan, nan, 0.0, nan]
2019-02-19T19:54:51.638995: step 36, loss 4.93923, accuracy 0.125, precision [0.0, 0.0, 0.0, 0.4, 0.0, nan, 0.0, 0.0, nan], recall [0.0, 0.0, nan, 0.4, 0.0, 0.0, nan, 0.0, nan]
2019-02-19T19:54:51.793315: step 37, loss 4.66565, accuracy 0.125, precision [0.0, 0.0, 0.0, 0.2857142857142857, 0.0, nan, 0.0, 0.0, nan], recall [nan, 0.0, 0.0, 0.3333333333333333, 0.0, nan, nan, 0.0, nan]
2019-02-19T19:54:51.945706: step 38, loss 5.76577, accuracy 0.125, precision [0.0, 0.0, 0.0, 0.5, 0.25, nan, nan, 0.0, nan], recall [nan, nan, 0.0, 0.14285714285714285, 0.25, 0.0, 0.0, nan, 0.0]
2019-02-19T19:54:52.099852: step 39, loss 6.4079, accuracy 0.0625, precision [nan, 0.0, nan, 0.16666666666666666, 0.0, 0.0, nan, 0.0, nan], recall [0.0, nan, 0.0, 0.2, 0.0, 0.0, 0.0, 0.0, nan]
2019-02-19T19:54:52.250567: step 40, loss 5.60502, accuracy 0.1875, precision [0.0, 0.0, 0.5, 0.4, 0.0, 0.0, nan, 0.0, 0.0], recall [nan, nan, 0.5, 0.4, 0.0, 0.0, nan, 0.0, 0.0]
2019-02-19T19:54:52.401545: step 41, loss 3.83147, accuracy 0.125, precision [0.0, 0.3333333333333333, 0.0, 0.3333333333333333, 0.0, 0.0, nan, nan, nan], recall [nan, 1.0, 0.0, 0.25, 0.0, nan, nan, 0.0, 0.0]
2019-02-19T19:54:52.554452: step 42, loss 4.87013, accuracy 0.1875, precision [0.0, 0.0, nan, 0.2, 0.5, 0.0, 0.0, 0.5, 0.0], recall [0.0, 0.0, 0.0, 0.25, 0.3333333333333333, 0.0, nan, 0.5, nan]
2019-02-19T19:54:52.704504: step 43, loss 3.51783, accuracy 0.125, precision [nan, 0.0, 0.25, 0.16666666666666666, 0.0, nan, nan, 0.0, nan], recall [0.0, 0.0, 0.5, 0.16666666666666666, 0.0, 0.0, nan, 0.0, nan]
2019-02-19T19:54:52.860405: step 44, loss 3.62561, accuracy 0.25, precision [0.0, 0.0, 0.5, 0.0, 0.75, nan, nan, 0.0, nan], recall [nan, 0.0, 0.3333333333333333, 0.0, 0.5, nan, 0.0, 0.0, nan]
2019-02-19T19:54:53.012795: step 45, loss 3.4136, accuracy 0.1875, precision [nan, 0.3333333333333333, nan, 0.0, 0.25, 0.0, 0.0, 0.5, nan], recall [0.0, 0.3333333333333333, 0.0, 0.0, 0.3333333333333333, nan, 0.0, 1.0, nan]
2019-02-19T19:54:53.166965: step 46, loss 3.42473, accuracy 0.25, precision [nan, 0.3333333333333333, 0.0, 0.2222222222222222, 0.3333333333333333, nan, nan, nan, nan], recall [0.0, 0.3333333333333333, nan, 0.5, 0.2, nan, 0.0, nan, 0.0]
2019-02-19T19:54:53.322949: step 47, loss 4.52785, accuracy 0.125, precision [0.0, 1.0, 0.0, 0.5, 0.0, nan, 0.0, 0.0, nan], recall [nan, 0.3333333333333333, 0.0, 0.2, 0.0, nan, 0.0, 0.0, nan]
2019-02-19T19:54:53.476024: step 48, loss 4.14164, accuracy 0.1875, precision [nan, 0.25, 0.0, 0.5, 0.0, nan, 0.0, 0.0, 0.0], recall [nan, 0.2, 0.0, 0.2857142857142857, 0.0, nan, nan, nan, nan]
2019-02-19T19:54:53.632600: step 49, loss 2.40401, accuracy 0.4375, precision [0.0, 0.0, nan, 0.7142857142857143, 0.25, nan, nan, 0.5, nan], recall [nan, 0.0, 0.0, 0.8333333333333334, 0.5, nan, nan, 0.3333333333333333, nan]
2019-02-19T19:54:53.793459: step 50, loss 3.79114, accuracy 0.4375, precision [0.25, 1.0, 0.0, 0.6666666666666666, 1.0, 0.0, nan, 0.0, 0.0], recall [1.0, 0.42857142857142855, 0.0, 0.4, 0.5, nan, nan, nan, nan]
2019-02-19T19:54:53.944812: step 51, loss 3.99825, accuracy 0.125, precision [0.0, 0.6666666666666666, 0.0, nan, 0.0, 0.0, 0.0, 0.0, 0.0], recall [0.0, 0.4, 0.0, 0.0, 0.0, nan, 0.0, 0.0, nan]
2019-02-19T19:54:54.096925: step 52, loss 3.90191, accuracy 0.1875, precision [0.0, 1.0, 0.0, 0.0, 0.2, 0.0, nan, 1.0, 0.0], recall [nan, 0.2, 0.0, 0.0, 0.5, nan, nan, 0.2, nan]
2019-02-19T19:54:54.248257: step 53, loss 5.99231, accuracy 0.0625, precision [0.0, 0.0, nan, 0.0, 0.5, 0.0, 0.0, 0.0, 0.0], recall [0.0, 0.0, 0.0, 0.0, 0.125, nan, nan, 0.0, 0.0]
2019-02-19T19:54:54.403982: step 54, loss 5.09468, accuracy 0.0625, precision [nan, 0.0, 0.25, 0.0, 0.0, 0.0, 0.0, 0.0, nan], recall [0.0, nan, 0.3333333333333333, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
2019-02-19T19:54:54.559296: step 55, loss 4.57517, accuracy 0, precision [0.0, 0.0, 0.0, 0.0, nan, 0.0, nan, nan, nan], recall [0.0, nan, 0.0, nan, 0.0, 0.0, nan, 0.0, 0.0]
2019-02-19T19:54:54.715697: step 56, loss 3.98023, accuracy 0.0625, precision [0.0, 0.0, 0.0, 0.0, 0.0, 0.3333333333333333, 0.0, 0.0, nan], recall [0.0, nan, 0.0, nan, 0.0, 1.0, 0.0, 0.0, 0.0]
2019-02-19T19:54:54.864763: step 57, loss 3.22646, accuracy 0.25, precision [nan, 0.0, nan, 0.42857142857142855, 0.0, 0.0, nan, 1.0, 0.0], recall [0.0, nan, 0.0, 0.5, 0.0, 0.0, 0.0, 0.5, 0.0]
2019-02-19T19:54:55.019997: step 58, loss 3.74537, accuracy 0.3125, precision [nan, nan, 0.0, 0.5, 0.2, nan, nan, 0.25, nan], recall [nan, 0.0, nan, 0.3333333333333333, 1.0, 0.0, nan, 1.0, 0.0]
2019-02-19T19:54:55.174490: step 59, loss 5.29366, accuracy 0, precision [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], recall [0.0, 0.0, nan, 0.0, 0.0, 0.0, 0.0, nan, 0.0]
2019-02-19T19:54:55.329102: step 60, loss 5.4403, accuracy 0.125, precision [0.0, 0.0, nan, 0.3333333333333333, 0.25, 0.0, nan, 0.0, nan], recall [0.0, 0.0, nan, 0.1111111111111111, 0.3333333333333333, 0.0, nan, nan, 0.0]
2019-02-19T19:54:55.481524: step 61, loss 3.06608, accuracy 0.125, precision [0.0, 0.0, 0.0, 0.3333333333333333, 0.0, 0.0, nan, 0.0, nan], recall [0.0, 0.0, nan, 0.2222222222222222, 0.0, 0.0, nan, nan, nan]
2019-02-19T19:54:55.635767: step 62, loss 2.8993, accuracy 0.375, precision [0.75, 0.25, 0.0, 0.5, 0.0, nan, nan, 0.0, nan], recall [1.0, 0.5, 0.0, 0.4, 0.0, 0.0, nan, nan, nan]
2019-02-19T19:54:55.790860: step 63, loss 2.6652, accuracy 0.375, precision [0.5, 1.0, 0.0, 0.4444444444444444, 0.0, nan, 0.0, nan, nan], recall [0.5, 0.5, nan, 0.5714285714285714, 0.0, 0.0, nan, 0.0, nan]
2019-02-19T19:54:55.944937: step 64, loss 4.00132, accuracy 0.1875, precision [0.5, 0.5, nan, 0.0, 0.0, 0.0, nan, 0.0, nan], recall [0.5, 0.3333333333333333, 0.0, 0.0, 0.0, 0.0, nan, nan, nan]
2019-02-19T19:54:56.097555: step 65, loss 3.11387, accuracy 0.3125, precision [1.0, 0.5, 0.0, 0.25, 0.3333333333333333, 0.0, nan, 0.0, nan], recall [0.25, 0.5, 0.0, 0.5, 0.25, nan, nan, nan, nan]
2019-02-19T19:54:56.250472: step 66, loss 2.87918, accuracy 0.25, precision [0.6666666666666666, 0.3333333333333333, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5, nan], recall [0.5, 0.25, nan, 0.0, 0.0, 0.0, nan, 0.25, nan]
2019-02-19T19:54:56.403885: step 67, loss 3.0554, accuracy 0.1875, precision [nan, 0.5, 0.0, 0.16666666666666666, 0.25, 0.0, nan, nan, 0.0], recall [0.0, 0.2, nan, 0.25, 0.3333333333333333, 0.0, nan, 0.0, nan]
2019-02-19T19:54:56.559632: step 68, loss 2.76046, accuracy 0.25, precision [0.0, 0.0, 0.5, 0.2, 0.5, nan, nan, nan, 0.0], recall [nan, 0.0, 1.0, 0.25, 0.5, nan, nan, 0.0, nan]
2019-02-19T19:54:56.713954: step 69, loss 2.15564, accuracy 0.375, precision [nan, 0.0, nan, 0.5, 0.5, 0.0, nan, 0.5, 0.0], recall [0.0, 0.0, 0.0, 0.75, 1.0, nan, nan, 0.25, nan]
2019-02-19T19:54:56.869704: step 70, loss 2.15618, accuracy 0.3125, precision [0.0, 0.0, nan, 0.8333333333333334, 0.0, nan, nan, nan, nan], recall [0.0, 0.0, nan, 0.5, 0.0, nan, nan, 0.0, nan]
2019-02-19T19:54:57.022193: step 71, loss 4.58189, accuracy 0.1875, precision [0.0, 0.0, 0.0, 0.75, 0.0, 0.0, nan, nan, nan], recall [nan, 0.0, nan, 0.25, nan, nan, nan, 0.0, nan]
2019-02-19T19:54:57.177126: step 72, loss 2.15347, accuracy 0.25, precision [0.3333333333333333, 0.0, nan, 0.5, 0.25, nan, 0.0, 0.0, nan], recall [0.3333333333333333, nan, nan, 0.25, 0.25, nan, nan, 0.0, nan]
2019-02-19T19:54:57.328428: step 73, loss 2.26591, accuracy 0.375, precision [0.3333333333333333, 0.3333333333333333, 0.0, 0.6, 0.5, 0.0, nan, 0.0, nan], recall [1.0, 0.16666666666666666, nan, 0.5, 0.3333333333333333, nan, nan, nan, nan]
2019-02-19T19:54:57.476878: step 74, loss 3.43161, accuracy 0.125, precision [nan, 0.25, nan, 0.5, 0.0, nan, 0.0, 0.0, nan], recall [0.0, 0.5, nan, 0.2, 0.0, nan, nan, nan, nan]
2019-02-19T19:54:57.631538: step 75, loss 2.81276, accuracy 0.3125, precision [1.0, 0.0, nan, 0.5, 0.3333333333333333, 0.0, nan, 0.0, nan], recall [0.5, 0.0, nan, 0.3333333333333333, 0.2857142857142857, nan, nan, nan, nan]
2019-02-19T19:54:57.786464: step 76, loss 3.21225, accuracy 0.1875, precision [0.0, nan, 0.0, 0.0, 0.6, 0.0, nan, nan, nan], recall [nan, 0.0, 0.0, 0.0, 0.3333333333333333, nan, nan, nan, nan]
2019-02-19T19:54:57.939524: step 77, loss 3.38454, accuracy 0.1875, precision [0.0, 1.0, 0.0, 0.0, 0.5, 0.0, 0.5, 0.0, 0.0], recall [0.0, 0.5, 0.0, nan, 0.1111111111111111, nan, 0.5, nan, nan]
2019-02-19T19:54:58.097919: step 78, loss 2.97224, accuracy 0.1875, precision [0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, nan], recall [0.0, 0.0, 0.0, nan, 0.3333333333333333, nan, 0.0, nan, 0.0]
2019-02-19T19:54:58.248230: step 79, loss 2.50296, accuracy 0.25, precision [1.0, 0.5, 0.0, 0.2, 0.3333333333333333, nan, nan, 0.0, 0.0], recall [0.5, 0.3333333333333333, nan, 1.0, 0.14285714285714285, 0.0, 0.0, 0.0, nan]
2019-02-19T19:54:58.406561: step 80, loss 3.94922, accuracy 0.0625, precision [0.0, 0.0, 0.0, 0.2, 0.0, nan, nan, 0.0, nan], recall [0.0, 0.0, nan, 0.2, 0.0, 0.0, 0.0, 0.0, nan]
2019-02-19T19:54:58.560670: step 81, loss 2.13686, accuracy 0.125, precision [0.5, 0.0, 0.0, 0.25, 0.0, 0.0, 0.0, 0.0, nan], recall [1.0, 0.0, nan, 0.2, 0.0, nan, nan, 0.0, nan]
2019-02-19T19:54:58.714382: step 82, loss 2.74049, accuracy 0.3125, precision [0.0, 0.3333333333333333, 0.0, 0.5, nan, nan, nan, 0.5, nan], recall [0.0, 1.0, nan, 0.5, 0.0, 0.0, nan, 0.2, nan]
2019-02-19T19:54:58.866041: step 83, loss 3.26154, accuracy 0.125, precision [0.0, 0.3333333333333333, 0.0, 0.3333333333333333, 0.0, 0.0, nan, 0.0, nan], recall [nan, 1.0, nan, 0.14285714285714285, nan, nan, 0.0, 0.0, nan]
2019-02-19T19:54:59.017692: step 84, loss 1.91804, accuracy 0.4375, precision [0.0, 0.3333333333333333, 1.0, 1.0, 0.0, nan, nan, 0.0, nan], recall [nan, 0.5, 0.3333333333333333, 0.45454545454545453, nan, nan, nan, nan, nan]
2019-02-19T19:54:59.171632: step 85, loss 3.29947, accuracy 0.125, precision [0.0, 0.0, 0.0, 1.0, 0.0, 0.0, nan, 0.0, nan], recall [nan, 0.0, 0.0, 0.2, nan, 0.0, nan, 0.0, nan]
2019-02-19T19:54:59.323338: step 86, loss 2.89852, accuracy 0, precision [nan, 0.0, nan, 0.0, 0.0, nan, nan, 0.0, nan], recall [nan, nan, 0.0, 0.0, nan, nan, nan, 0.0, nan]
2019-02-19T19:54:59.477154: step 87, loss 2.70463, accuracy 0.3125, precision [0.0, 0.0, 0.0, 1.0, 0.0, nan, nan, 0.5, 0.0], recall [nan, 0.0, 0.0, 0.3333333333333333, nan, nan, nan, 0.5, nan]
2019-02-19T19:54:59.629227: step 88, loss 2.65506, accuracy 0.125, precision [0.0, 0.5, nan, 0.2, 0.0, nan, nan, 0.0, nan], recall [0.0, 0.5, 0.0, 0.2, nan, 0.0, nan, 0.0, nan]
2019-02-19T19:54:59.783710: step 89, loss 2.20327, accuracy 0.25, precision [1.0, 0.5, 1.0, 0.0, 0.0, 0.0, nan, 0.0, nan], recall [0.5, 0.25, 0.3333333333333333, 0.0, nan, nan, nan, 0.0, nan]
2019-02-19T19:54:59.932647: step 90, loss 2.42561, accuracy 0.3125, precision [0.0, 0.6666666666666666, 1.0, 0.25, 0.0, nan, 0.0, 0.0, nan], recall [0.0, 0.4, 0.4, 1.0, 0.0, nan, nan, nan, nan]
2019-02-19T19:55:00.086781: step 91, loss 1.84006, accuracy 0.1875, precision [0.0, 0.5, 0.0, 0.0, 0.4, nan, nan, 0.0, nan], recall [0.0, 0.25, 0.0, 0.0, 0.3333333333333333, nan, nan, nan, nan]
2019-02-19T19:55:00.242769: step 92, loss 1.95374, accuracy 0.25, precision [0.0, 1.0, nan, 0.4, 0.2, nan, nan, 0.0, nan], recall [nan, 0.125, 0.0, 0.6666666666666666, 0.25, nan, nan, nan, nan]
2019-02-19T19:55:00.399650: step 93, loss 2.78503, accuracy 0.1875, precision [0.0, 0.5, 0.0, 0.25, nan, nan, 0.0, 0.0, 0.0], recall [0.0, 0.4, nan, 0.5, 0.0, nan, nan, nan, nan]
2019-02-19T19:55:00.555621: step 94, loss 3.11047, accuracy 0.125, precision [0.0, 0.3333333333333333, 0.0, 0.0, 0.5, nan, 0.0, 0.0, 0.0], recall [0.0, 1.0, nan, 0.0, 0.125, nan, nan, nan, nan]
2019-02-19T19:55:00.710722: step 95, loss 1.96137, accuracy 0.25, precision [0.5, 0.0, 0.0, 0.2857142857142857, 0.3333333333333333, 0.0, nan, 0.0, nan], recall [0.5, nan, nan, 0.4, 0.1111111111111111, nan, nan, nan, nan]
2019-02-19T19:55:00.865823: step 96, loss 2.9968, accuracy 0.0625, precision [0.0, 0.0, 0.0, 0.25, 0.0, 0.0, nan, 0.0, 0.0], recall [0.0, 0.0, nan, 0.16666666666666666, 0.0, nan, nan, nan, nan]
2019-02-19T19:55:01.019899: step 97, loss 2.52805, accuracy 0.1875, precision [0.0, 0.0, nan, 0.5, 0.0, nan, 0.0, 0.0, nan], recall [0.0, nan, nan, 0.25, 0.0, nan, nan, nan, nan]
2019-02-19T19:55:01.170231: step 98, loss 2.67639, accuracy 0.1875, precision [nan, 0.2, 0.0, 1.0, 0.2, 0.0, nan, 0.0, nan], recall [0.0, 1.0, nan, 0.1, 0.3333333333333333, nan, nan, 0.0, nan]
2019-02-19T19:55:01.326779: step 99, loss 2.1436, accuracy 0.3125, precision [0.25, 0.0, 0.0, 0.6666666666666666, 0.0, nan, nan, 0.0, nan], recall [0.25, 0.0, nan, 0.4444444444444444, nan, nan, nan, 0.0, nan]
2019-02-19T19:55:01.478667: step 100, loss 2.46378, accuracy 0.25, precision [0.0, nan, 0.0, 0.5, 0.0, nan, nan, 0.3333333333333333, nan], recall [0.0, 0.0, nan, 0.2727272727272727, nan, nan, nan, 0.5, nan]
2019-02-19T19:55:01.626181: step 101, loss 2.49092, accuracy 0.3125, precision [nan, 0.0, 0.0, 0.625, 0.0, nan, 0.0, 0.0, nan], recall [0.0, 0.0, nan, 0.625, nan, nan, nan, 0.0, nan]
2019-02-19T19:55:01.780727: step 102, loss 2.15566, accuracy 0.1875, precision [0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.3333333333333333, nan], recall [0.0, nan, nan, 0.2857142857142857, nan, nan, nan, 0.25, nan]
2019-02-19T19:55:01.933556: step 103, loss 2.14889, accuracy 0.25, precision [0.0, 0.0, 0.0, 0.25, 1.0, nan, nan, 0.0, 0.0], recall [0.0, nan, 0.0, 0.5, 0.4, nan, nan, 0.0, nan]
2019-02-19T19:55:02.086245: step 104, loss 2.02632, accuracy 0.3125, precision [0.5, 0.0, nan, 0.6, nan, nan, 0.0, 0.3333333333333333, nan], recall [1.0, 0.0, 0.0, 0.6, nan, nan, nan, 0.2, nan]
2019-02-19T19:55:02.240187: step 105, loss 2.11885, accuracy 0.25, precision [0.0, 0.0, nan, 0.8, 0.0, 0.0, nan, 0.0, nan], recall [nan, nan, nan, 0.3076923076923077, nan, 0.0, nan, 0.0, nan]
