hello
768
Loading data...
{'sympathy_and_emotional_support': 0, 'not_related_or_irrelevant': 1, 'infrastructure_and_utilities_damage': 2, 'other_useful_information': 3, 'injured_or_dead_people': 4, 'caution_and_advice': 5, 'displaced_people_and_evacuations': 6, 'donation_needs_or_offers_or_volunteering_services': 7, 'missing_trapped_or_found_people': 8}
Max Document length: 2407
Vocabulary Size: 1
Train/Dev split: 9226/1025
Writing to /home/ubuntu/Project/runs/1550603912

2019-02-19T19:18:48.252889: step 1, loss 17.5413, accuracy 0.125, precision [0.0, 0.0, 0.0, 0.125, 1.0, 0.0, 0.0, nan, nan], recall [0.0, nan, 0.0, 1.0, 0.1111111111111111, 0.0, nan, nan, nan]
2019-02-19T19:19:48.514509: step 16, loss 13.2761, accuracy 0.125, precision [1.0, 0.0, 0.0, 0.25, 0.0, 0.0, 0.0, 0.0, nan], recall [0.2, 0.0, 0.0, 0.3333333333333333, 0.0, 0.0, nan, nan, 0.0]
2019-02-19T19:19:52.523034: step 17, loss 11.7283, accuracy 0.4375, precision [nan, 0.5, nan, 0.5714285714285714, 0.5, nan, nan, 0.0, 0.0], recall [0.0, 0.5, 0.0, 0.6666666666666666, 0.6666666666666666, nan, nan, nan, 0.0]
2019-02-19T19:19:56.525189: step 18, loss 12.6301, accuracy 0.3125, precision [1.0, 1.0, 0.0, 0.2857142857142857, 1.0, 0.0, 0.0, 0.0, nan], recall [0.5, 0.2, nan, 0.5, 0.3333333333333333, nan, nan, 0.0, 0.0]
2019-02-19T19:20:00.533859: step 19, loss 14.5692, accuracy 0.0625, precision [0.0, 0.25, 0.0, 0.0, 0.0, 0.0, nan, 0.0, nan], recall [nan, 0.125, nan, 0.0, 0.0, 0.0, nan, nan, 0.0]
2019-02-19T19:20:04.531202: step 20, loss 16.1806, accuracy 0.1875, precision [0.0, 0.0, 0.0, 0.5, 0.0, nan, nan, nan, nan], recall [0.0, 0.0, 0.0, 0.375, 0.0, 0.0, nan, 0.0, nan]
2019-02-19T19:20:08.543044: step 21, loss 10.6982, accuracy 0.25, precision [0.0, 0.3333333333333333, 0.0, 0.5, 0.0, nan, nan, nan, nan], recall [nan, 0.25, nan, 0.5, 0.0, nan, nan, 0.0, nan]
2019-02-19T19:20:12.538909: step 22, loss 9.73742, accuracy 0.3125, precision [0.0, 0.0, 0.0, 0.7142857142857143, 0.0, 0.0, nan, 0.0, 0.0], recall [nan, 0.0, 0.0, 0.5, nan, 0.0, nan, nan, nan]
2019-02-19T19:20:16.536916: step 23, loss 11.4059, accuracy 0.25, precision [0.0, 1.0, 0.0, 0.75, 0.0, 0.0, 0.0, 0.0, nan], recall [nan, 0.3333333333333333, nan, 0.3, nan, 0.0, nan, 0.0, nan]
2019-02-19T19:20:20.532474: step 24, loss 12.4988, accuracy 0.1875, precision [0.0, nan, 0.5, 0.5, 0.0, nan, 0.0, 0.0, nan], recall [0.0, 0.0, 1.0, 0.18181818181818182, nan, nan, nan, 0.0, nan]
2019-02-19T19:20:24.545908: step 25, loss 14.4423, accuracy 0.125, precision [0.0, 0.0, 0.0, 0.5, 0.0, nan, nan, 0.0, nan], recall [nan, 0.0, 0.0, 0.4, 0.0, 0.0, 0.0, nan, nan]
2019-02-19T19:20:28.605918: step 26, loss 12.4012, accuracy 0.25, precision [0.0, 0.0, 0.0, 0.5, 0.5, 0.0, nan, 0.0, nan], recall [0.0, 0.0, 0.0, 0.75, 1.0, 0.0, 0.0, 0.0, nan]
2019-02-19T19:20:32.612083: step 27, loss 6.95157, accuracy 0.375, precision [0.0, 1.0, 0.0, 0.0, 0.0, 0.0, nan, 0.5, 0.0], recall [nan, 0.8, 0.0, 0.0, 0.0, 0.0, nan, 0.5, 0.0]
2019-02-19T19:20:36.609052: step 28, loss 8.5077, accuracy 0.25, precision [nan, 0.0, 0.0, 0.0, 0.25, 1.0, nan, 1.0, 1.0], recall [nan, nan, 0.0, 0.0, 0.5, 1.0, nan, 0.125, 0.3333333333333333]
2019-02-19T19:20:40.616804: step 29, loss 11.8901, accuracy 0.25, precision [0.6666666666666666, 1.0, 0.0, 0.2, 0.0, nan, nan, 0.0, nan], recall [1.0, 1.0, 0.0, 1.0, 0.0, nan, nan, 0.0, 0.0]
2019-02-19T19:20:44.627037: step 30, loss 11.8948, accuracy 0.4375, precision [0.3333333333333333, 0.0, 0.5, 0.0, 0.8333333333333334, nan, 0.0, nan, nan], recall [1.0, 0.0, 1.0, nan, 0.5, 0.0, nan, 0.0, nan]
2019-02-19T19:20:48.627044: step 31, loss 5.32699, accuracy 0.375, precision [0.0, 0.6666666666666666, 0.0, 0.0, 0.6666666666666666, 0.0, 0.0, nan, nan], recall [0.0, 0.6666666666666666, 0.0, 0.0, 0.8, nan, 0.0, 0.0, nan]
2019-02-19T19:20:52.634428: step 32, loss 9.68551, accuracy 0.3125, precision [0.5, 0.0, 1.0, 0.0, 0.5, 0.0, nan, 1.0, nan], recall [0.25, 0.0, 0.6666666666666666, nan, 0.2, 0.0, 0.0, 1.0, nan]
2019-02-19T19:20:56.634993: step 33, loss 14.7845, accuracy 0.125, precision [0.5, 0.0, 0.5, 0.0, 0.0, nan, 0.0, 0.0, nan], recall [0.5, 0.0, 1.0, 0.0, 0.0, nan, 0.0, nan, nan]
2019-02-19T19:21:00.642746: step 34, loss 12.4373, accuracy 0.0625, precision [nan, 0.3333333333333333, 0.0, 0.0, nan, nan, 0.0, 0.0, nan], recall [0.0, 0.5, 0.0, 0.0, 0.0, nan, nan, nan, nan]
2019-02-19T19:21:04.644362: step 35, loss 8.48774, accuracy 0.3125, precision [0.0, 0.3333333333333333, 0.0, 0.6, 0.5, 0.0, 0.0, 0.0, nan], recall [0.0, 0.3333333333333333, 0.0, 0.5, 1.0, nan, 0.0, 0.0, nan]
2019-02-19T19:21:08.643290: step 36, loss 13.0688, accuracy 0.1875, precision [nan, 0.3333333333333333, 0.0, 1.0, 0.0, 0.0, nan, 0.0, nan], recall [0.0, 1.0, 0.0, 0.125, 0.0, nan, nan, nan, nan]
2019-02-19T19:21:12.646005: step 37, loss 12.7271, accuracy 0.1875, precision [0.0, 0.0, 0.0, 0.6, 0.0, 0.0, 0.0, 0.0, nan], recall [nan, 0.0, nan, 0.375, nan, nan, 0.0, nan, nan]
2019-02-19T19:21:16.671493: step 38, loss 6.62085, accuracy 0.3125, precision [0.0, 0.0, 0.3333333333333333, 0.6666666666666666, 0.0, nan, nan, 0.0, nan], recall [0.0, 0.0, 1.0, 0.36363636363636365, nan, nan, nan, nan, nan]
2019-02-19T19:21:20.676085: step 39, loss 10.7928, accuracy 0.1875, precision [0.0, 0.0, nan, 0.6, 0.0, nan, 0.0, 0.0, nan], recall [nan, 0.0, 0.0, 0.2727272727272727, nan, 0.0, 0.0, nan, nan]
2019-02-19T19:21:24.671877: step 40, loss 20.6725, accuracy 0.0625, precision [nan, 0.0, nan, 0.3333333333333333, 0.0, 0.0, 0.0, 0.0, 0.0], recall [0.0, 0.0, 0.0, 0.16666666666666666, nan, nan, 0.0, nan, nan]
2019-02-19T19:21:28.671596: step 41, loss 17.5427, accuracy 0, precision [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, nan, 0.0, nan], recall [0.0, 0.0, 0.0, 0.0, nan, 0.0, 0.0, 0.0, nan]
2019-02-19T19:21:32.680228: step 42, loss 10.9789, accuracy 0.0625, precision [nan, 0.3333333333333333, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, nan], recall [0.0, 0.16666666666666666, 0.0, 0.0, nan, 0.0, nan, 0.0, nan]
2019-02-19T19:21:36.682936: step 43, loss 9.82195, accuracy 0.0625, precision [1.0, 0.0, 0.0, 0.0, 0.0, nan, nan, 0.0, nan], recall [0.3333333333333333, 0.0, nan, nan, 0.0, 0.0, 0.0, 0.0, nan]
2019-02-19T19:21:40.680999: step 44, loss 9.35831, accuracy 0.1875, precision [0.0, 0.0, 0.0, 0.0, 0.42857142857142855, nan, 0.0, nan, nan], recall [0.0, 0.0, 0.0, 0.0, 0.6, 0.0, 0.0, 0.0, nan]
2019-02-19T19:21:44.686504: step 45, loss 7.73632, accuracy 0.125, precision [nan, 0.0, 0.0, 0.2, 0.0, 1.0, nan, 0.0, 0.0], recall [nan, nan, 0.0, 0.5, 0.0, 0.25, nan, 0.0, nan]
2019-02-19T19:21:48.689366: step 46, loss 14.6721, accuracy 0.125, precision [0.0, 0.0, 0.0, 0.0, 0.6666666666666666, nan, nan, nan, 0.0], recall [0.0, 0.0, 0.0, 0.0, 0.25, nan, nan, 0.0, nan]
2019-02-19T19:21:52.685299: step 47, loss 12.1851, accuracy 0.125, precision [0.0, 0.0, 0.0, 0.0, 1.0, 0.0, nan, nan, nan], recall [nan, 0.0, 0.0, 0.0, 0.3333333333333333, nan, nan, 0.0, nan]
2019-02-19T19:21:56.686846: step 48, loss 16.4077, accuracy 0.125, precision [0.0, 0.0, 0.0, 0.3333333333333333, 1.0, 0.0, 0.0, 0.0, 0.0], recall [nan, 0.0, 0.0, 0.2, 0.125, nan, nan, nan, nan]
2019-02-19T19:22:00.704052: step 49, loss 9.40184, accuracy 0.3125, precision [0.0, 0.0, nan, 0.5714285714285714, 0.3333333333333333, 0.0, nan, 0.0, nan], recall [0.0, 0.0, nan, 0.8, 0.16666666666666666, nan, nan, 0.0, nan]
2019-02-19T19:22:04.815741: step 50, loss 12.8972, accuracy 0.3125, precision [0.0, 0.5, 0.3333333333333333, 0.3333333333333333, 0.5, nan, nan, 0.0, 0.0], recall [nan, 0.3333333333333333, 0.5, 0.14285714285714285, 0.6666666666666666, nan, 0.0, nan, nan]
2019-02-19T19:22:08.830418: step 51, loss 7.09715, accuracy 0.25, precision [0.0, 0.0, 0.5, 0.4, 0.0, 0.0, nan, 0.0, nan], recall [nan, 0.0, 0.5, 0.5, 0.0, nan, nan, 0.0, nan]
2019-02-19T19:22:12.826523: step 52, loss 11.0321, accuracy 0.1875, precision [0.0, 0.0, nan, 0.5, 0.3333333333333333, 0.0, nan, 0.0, nan], recall [nan, nan, 0.0, 0.08333333333333333, 0.6666666666666666, nan, nan, nan, nan]
2019-02-19T19:22:16.836320: step 53, loss 6.79116, accuracy 0.25, precision [0.0, 0.0, 0.0, 0.6666666666666666, 0.0, 0.0, 0.0, nan, 0.0], recall [nan, 0.0, 0.0, 0.4444444444444444, nan, nan, 0.0, 0.0, nan]
2019-02-19T19:22:20.844204: step 54, loss 5.90864, accuracy 0.3125, precision [nan, 0.0, 0.25, 0.5, 0.6666666666666666, 0.0, 0.0, nan, nan], recall [nan, 0.0, 0.25, 0.2857142857142857, 1.0, nan, nan, 0.0, 0.0]
2019-02-19T19:22:24.842619: step 55, loss 11.9766, accuracy 0.1875, precision [0.0, 1.0, 0.5, 0.0, 0.0, 0.0, 0.0, nan, nan], recall [0.0, 0.2857142857142857, 0.25, 0.0, 0.0, nan, nan, 0.0, nan]
2019-02-19T19:22:28.854394: step 56, loss 5.4933, accuracy 0.25, precision [0.0, 1.0, 1.0, 0.16666666666666666, 0.3333333333333333, nan, nan, nan, nan], recall [0.0, 0.5, 1.0, 0.3333333333333333, 0.5, 0.0, nan, 0.0, 0.0]
2019-02-19T19:22:32.865281: step 57, loss 10.3396, accuracy 0.0625, precision [0.0, 0.5, 0.0, 0.0, 0.0, 0.0, nan, 0.0, nan], recall [0.0, 0.25, 0.0, 0.0, 0.0, 0.0, nan, nan, 0.0]
2019-02-19T19:22:36.870946: step 58, loss 8.03911, accuracy 0.125, precision [nan, 0.0, nan, 0.0, 0.5, 0.0, nan, 0.0, nan], recall [0.0, 0.0, 0.0, 0.0, 0.6666666666666666, 0.0, nan, 0.0, 0.0]
2019-02-19T19:22:40.893669: step 59, loss 7.69163, accuracy 0.25, precision [1.0, 0.4, 0.0, 0.25, 0.0, 0.0, nan, 0.0, nan], recall [0.25, 0.4, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, nan]
2019-02-19T19:22:44.901238: step 60, loss 8.26525, accuracy 0.1875, precision [nan, 0.3333333333333333, 0.0, 0.2222222222222222, nan, nan, nan, 0.0, nan], recall [0.0, 0.5, 0.0, 0.2857142857142857, 0.0, nan, 0.0, nan, nan]
2019-02-19T19:22:48.897219: step 61, loss 8.60552, accuracy 0.1875, precision [0.0, 0.0, 0.3333333333333333, 0.5, nan, nan, nan, 0.0, 0.0], recall [0.0, nan, 1.0, 0.3333333333333333, 0.0, 0.0, nan, 0.0, 0.0]
2019-02-19T19:22:53.008930: step 62, loss 8.56279, accuracy 0.125, precision [nan, 0.0, 0.0, 0.25, 0.25, 0.0, 0.0, 0.0, 0.0], recall [0.0, 0.0, nan, 0.2, 0.5, 0.0, nan, nan, nan]
2019-02-19T19:22:57.024305: step 63, loss 9.86997, accuracy 0.125, precision [0.0, 0.5, 0.0, 0.25, 0.0, 0.0, nan, 0.0, nan], recall [0.0, 0.2, 0.0, 0.3333333333333333, 0.0, 0.0, 0.0, 0.0, nan]
2019-02-19T19:23:01.021528: step 64, loss 6.12873, accuracy 0.25, precision [nan, 0.25, 0.0, 0.42857142857142855, 0.0, 0.0, 0.0, nan, nan], recall [0.0, 0.5, 0.0, 0.75, 0.0, 0.0, nan, 0.0, nan]
2019-02-19T19:23:05.027666: step 65, loss 8.77159, accuracy 0.25, precision [0.0, 0.0, 1.0, 0.42857142857142855, nan, 0.0, 0.0, 0.0, nan], recall [0.0, 0.0, 0.5, 0.6, 0.0, nan, nan, 0.0, nan]
2019-02-19T19:23:09.025479: step 66, loss 6.0289, accuracy 0.3125, precision [0.0, 0.0, 0.0, 0.4, 1.0, nan, 0.0, 0.3333333333333333, 0.0], recall [nan, 0.0, 0.0, 0.5, 0.6666666666666666, 0.0, nan, 1.0, nan]
2019-02-19T19:23:13.033664: step 67, loss 3.60207, accuracy 0.5625, precision [0.0, 1.0, 0.0, 0.6666666666666666, 0.6666666666666666, nan, 0.0, 0.5, nan], recall [0.0, 0.6666666666666666, 0.0, 0.5714285714285714, 1.0, nan, nan, 0.5, nan]
2019-02-19T19:23:17.031962: step 68, loss 4.6544, accuracy 0.4375, precision [0.3333333333333333, 0.0, 0.0, 0.8, 0.6666666666666666, 0.0, nan, 0.0, nan], recall [0.5, 0.0, nan, 0.5714285714285714, 0.6666666666666666, nan, nan, 0.0, nan]
2019-02-19T19:23:21.041382: step 69, loss 3.58185, accuracy 0.5625, precision [nan, 0.6666666666666666, 0.0, 0.6666666666666666, 0.75, 0.0, nan, 0.0, nan], recall [0.0, 0.5, nan, 0.5714285714285714, 1.0, nan, nan, 0.0, nan]
2019-02-19T19:23:25.045739: step 70, loss 6.67768, accuracy 0.125, precision [1.0, 0.0, 0.0, 0.0, 0.0, nan, 0.0, 0.5, nan], recall [0.25, 0.0, nan, 0.0, nan, nan, nan, 0.14285714285714285, nan]
2019-02-19T19:23:29.047962: step 71, loss 7.9832, accuracy 0.1875, precision [0.0, 0.0, nan, 0.5, 0.0, 0.0, nan, 0.0, nan], recall [0.0, 0.0, 0.0, 0.3333333333333333, nan, nan, 0.0, nan, 0.0]
2019-02-19T19:23:33.055266: step 72, loss 9.11868, accuracy 0.1875, precision [0.0, nan, 0.0, 0.75, 0.0, 0.0, nan, nan, nan], recall [nan, 0.0, 0.0, 0.3333333333333333, 0.0, 0.0, nan, nan, nan]
2019-02-19T19:23:37.055808: step 73, loss 6.05912, accuracy 0.375, precision [0.0, 0.3333333333333333, nan, 0.4, 1.0, nan, nan, 0.0, 0.0], recall [nan, 0.5, nan, 0.4, 0.5, nan, 0.0, nan, nan]
2019-02-19T19:23:41.100546: step 74, loss 5.58733, accuracy 0.4375, precision [0.5, 0.3333333333333333, 1.0, 0.5, 0.5, 0.0, nan, 0.0, nan], recall [1.0, 0.3333333333333333, 1.0, 0.2857142857142857, 0.5, nan, nan, 0.0, nan]
2019-02-19T19:23:45.101313: step 75, loss 4.37156, accuracy 0.375, precision [0.0, 0.0, 0.0, 0.5, 0.75, 0.0, 1.0, 0.5, 0.0], recall [nan, 0.0, 0.0, 0.3333333333333333, 0.6, nan, 0.3333333333333333, 0.3333333333333333, nan]
2019-02-19T19:23:49.109660: step 76, loss 5.04403, accuracy 0.3125, precision [nan, 0.25, nan, 0.16666666666666666, 0.75, 0.0, nan, 0.0, nan], recall [nan, 0.25, 0.0, 0.25, 0.6, nan, nan, nan, nan]
2019-02-19T19:23:53.126809: step 77, loss 7.46253, accuracy 0.1875, precision [0.0, 0.6666666666666666, 0.0, 0.0, 0.0, 0.0, nan, 0.3333333333333333, 0.0], recall [0.0, 0.5, 0.0, 0.0, 0.0, nan, 0.0, 0.5, nan]
2019-02-19T19:23:57.134390: step 78, loss 5.68954, accuracy 0.1875, precision [0.0, 0.0, 0.0, 0.0, 0.2857142857142857, 0.0, nan, 1.0, nan], recall [0.0, 0.0, nan, 0.0, 1.0, nan, nan, 0.16666666666666666, 0.0]
2019-02-19T19:24:01.152510: step 79, loss 6.04897, accuracy 0.125, precision [nan, 0.0, 0.0, 0.14285714285714285, 0.2, nan, nan, nan, 0.0], recall [0.0, 0.0, 0.0, 0.5, 0.25, 0.0, nan, 0.0, nan]
2019-02-19T19:24:05.157506: step 80, loss 8.00728, accuracy 0.0625, precision [0.0, 1.0, 0.0, 0.0, 0.0, 0.0, nan, 0.0, 0.0], recall [0.0, 0.125, 0.0, 0.0, 0.0, 0.0, nan, 0.0, nan]
2019-02-19T19:24:09.160525: step 81, loss 5.3738, accuracy 0.25, precision [0.5, 0.14285714285714285, nan, 0.0, 0.5, nan, 1.0, 0.0, nan], recall [0.3333333333333333, 1.0, 0.0, 0.0, 0.16666666666666666, 0.0, 1.0, 0.0, 0.0]
2019-02-19T19:24:13.155828: step 82, loss 3.82176, accuracy 0.6875, precision [nan, 0.0, 0.6666666666666666, 0.8571428571428571, 0.6666666666666666, 0.0, nan, 1.0, nan], recall [0.0, nan, 1.0, 0.75, 1.0, nan, nan, 0.5, nan]
2019-02-19T19:24:17.160452: step 83, loss 6.02063, accuracy 0.3125, precision [0.0, 1.0, 0.0, 0.3333333333333333, 1.0, 0.0, nan, nan, nan], recall [0.0, 0.25, nan, 0.5, 0.5, 0.0, nan, 0.0, nan]
2019-02-19T19:24:21.167842: step 84, loss 4.21709, accuracy 0.375, precision [0.0, 0.0, 0.0, 0.6666666666666666, 0.4, nan, nan, 0.0, nan], recall [nan, 0.0, 0.0, 0.5, 0.4, nan, nan, nan, nan]
2019-02-19T19:24:25.167326: step 85, loss 5.6524, accuracy 0.4375, precision [nan, 0.0, 0.0, 0.5714285714285714, 0.75, 0.0, 0.0, nan, 0.0], recall [nan, nan, nan, 0.5, 0.6, 0.0, nan, nan, nan]
2019-02-19T19:24:29.277385: step 86, loss 5.08891, accuracy 0.5, precision [0.0, 0.6, nan, 0.7142857142857143, 0.0, 0.0, nan, 0.0, nan], recall [0.0, 1.0, 0.0, 0.5555555555555556, 0.0, nan, nan, nan, nan]
2019-02-19T19:24:33.301623: step 87, loss 7.15918, accuracy 0.3125, precision [nan, 0.6666666666666666, nan, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0], recall [0.0, 0.6666666666666666, nan, 0.5, 0.0, 0.0, nan, nan, nan]
2019-02-19T19:24:37.297271: step 88, loss 6.21704, accuracy 0.375, precision [0.0, 0.0, 0.5, 1.0, 0.3333333333333333, 0.0, nan, 0.0, nan], recall [0.0, 0.0, 0.6666666666666666, 0.42857142857142855, 0.5, nan, 0.0, 0.0, nan]
2019-02-19T19:24:41.301861: step 89, loss 6.40129, accuracy 0.125, precision [0.0, 0.0, 0.25, 0.0, 1.0, nan, nan, 0.0, 0.0], recall [0.0, 0.0, 0.3333333333333333, 0.0, 0.3333333333333333, 0.0, 0.0, nan, nan]
2019-02-19T19:24:45.310144: step 90, loss 8.13606, accuracy 0.0625, precision [0.0, 0.0, 0.0, 0.2, 0.0, 0.0, nan, nan, 0.0], recall [0.0, 0.0, 0.0, 0.25, 0.0, 0.0, nan, 0.0, 0.0]
2019-02-19T19:24:49.316588: step 91, loss 4.95292, accuracy 0.375, precision [0.0, 0.5, nan, 0.5, 0.25, 1.0, 0.0, nan, 1.0], recall [nan, 0.5, 0.0, 0.3333333333333333, 1.0, 0.3333333333333333, nan, nan, 1.0]
2019-02-19T19:24:53.310220: step 92, loss 6.62951, accuracy 0.3125, precision [1.0, 0.6666666666666666, 0.5, nan, 0.0, 1.0, 0.0, 0.0, nan], recall [1.0, 0.6666666666666666, 0.3333333333333333, 0.0, 0.0, 0.3333333333333333, nan, nan, 0.0]
2019-02-19T19:24:57.307695: step 93, loss 7.14228, accuracy 0.1875, precision [0.0, nan, 1.0, 0.0, 0.2857142857142857, 0.0, nan, 0.0, nan], recall [0.0, 0.0, 0.3333333333333333, 0.0, 1.0, 0.0, nan, 0.0, nan]
2019-02-19T19:25:01.309846: step 94, loss 4.02353, accuracy 0.375, precision [0.0, 0.25, nan, 0.2, 1.0, nan, nan, 0.5, nan], recall [0.0, 0.3333333333333333, 0.0, 1.0, 0.5, 0.0, nan, 0.5, nan]
2019-02-19T19:25:05.306970: step 95, loss 4.66458, accuracy 0.3125, precision [0.0, 0.5, nan, 0.5, 0.3333333333333333, 0.0, nan, 0.25, nan], recall [0.0, 0.2, nan, 0.5, 0.5, nan, nan, 0.5, 0.0]
2019-02-19T19:25:09.302256: step 96, loss 4.41517, accuracy 0.4375, precision [0.0, 0.2, nan, 0.75, nan, 0.0, 1.0, 0.6666666666666666, 0.0], recall [nan, 1.0, 0.0, 0.5, 0.0, nan, 1.0, 0.5, 0.0]
2019-02-19T19:25:13.304161: step 97, loss 3.15863, accuracy 0.375, precision [nan, 0.0, nan, 0.5, 1.0, nan, nan, 0.3333333333333333, 0.0], recall [nan, 0.0, nan, 0.6666666666666666, 0.3333333333333333, 0.0, nan, 0.2, nan]
2019-02-19T19:25:17.401595: step 98, loss 5.56169, accuracy 0.125, precision [nan, 0.0, nan, 0.1111111111111111, 0.5, 0.0, nan, 0.0, nan], recall [0.0, 0.0, nan, 0.5, 0.25, nan, 0.0, 0.0, nan]
2019-02-19T19:25:21.425014: step 99, loss 6.59081, accuracy 0.1875, precision [0.0, 0.0, 0.5, 0.0, 0.6666666666666666, 0.0, 0.0, nan, nan], recall [0.0, 0.0, 0.5, 0.0, 0.5, nan, nan, 0.0, 0.0]
2019-02-19T19:25:25.426197: step 100, loss 5.35856, accuracy 0.1875, precision [0.0, 0.5, 0.0, 0.2857142857142857, 0.0, nan, nan, 0.0, nan], recall [nan, 0.2, nan, 0.5, 0.0, nan, nan, 0.0, nan]
2019-02-19T19:25:29.444538: step 101, loss 5.17978, accuracy 0.125, precision [nan, 0.0, 0.0, 0.5, 0.0, nan, 0.0, 0.0, nan], recall [0.0, nan, nan, 0.18181818181818182, 0.0, nan, 0.0, 0.0, nan]
2019-02-19T19:25:33.458160: step 102, loss 2.61516, accuracy 0.4375, precision [0.5, 1.0, nan, 0.6666666666666666, 0.3333333333333333, 0.0, nan, 0.0, nan], recall [0.5, 0.6666666666666666, nan, 0.3333333333333333, 1.0, nan, 0.0, 0.0, nan]
2019-02-19T19:25:37.467634: step 103, loss 3.86373, accuracy 0.5, precision [0.5, 1.0, 0.0, 0.8, 1.0, 0.0, 1.0, 0.0, nan], recall [0.5, 1.0, nan, 0.4444444444444444, 0.5, nan, 0.5, nan, nan]
