Loading data...
{'sympathy_and_emotional_support': 0, 'not_related_or_irrelevant': 1, 'infrastructure_and_utilities_damage': 2, 'other_useful_information': 3, 'injured_or_dead_people': 4, 'caution_and_advice': 5, 'displaced_people_and_evacuations': 6, 'donation_needs_or_offers_or_volunteering_services': 7, 'missing_trapped_or_found_people': 8}
Max Document length: 2407
Vocabulary Size: 24319
Train/Dev split: 9226/1025
Writing to /home/ubuntu/Project/runs/1550599006

2019-02-19T17:57:31.160829: step 1, loss 9.50099, accuracy 0.1875, precision [1.0, 0.0, 1.0, 0.0, 1.0, 0.0, nan, 0.0, 0.0], recall [0.25, 0.0, 0.2, 0.0, 0.5, nan, nan, nan, nan]
2019-02-19T17:57:41.888660: step 70, loss 4.16612, accuracy 0.375, precision [0.5, 1.0, 0.0, 0.2, 0.0, 0.0, nan, 0.6666666666666666, nan], recall [1.0, 0.4, 0.0, 0.5, nan, 0.0, nan, 0.5, nan]
2019-02-19T17:57:42.049582: step 71, loss 5.14184, accuracy 0.3125, precision [0.0, 0.0, 1.0, 0.6666666666666666, 0.25, nan, 0.0, 0.3333333333333333, nan], recall [nan, 0.0, 0.5, 0.5, 0.5, nan, 0.0, 0.5, 0.0]
2019-02-19T17:57:42.205231: step 72, loss 7.62073, accuracy 0.1875, precision [0.0, 0.0, 0.0, 0.5, 1.0, 0.0, 0.0, 0.0, nan], recall [nan, 0.0, nan, 0.6666666666666666, 0.25, 0.0, 0.0, 0.0, 0.0]
2019-02-19T17:57:42.360135: step 73, loss 4.76444, accuracy 0.3125, precision [nan, 0.3333333333333333, 0.0, 0.0, 0.6666666666666666, 0.0, nan, 0.0, 0.0], recall [0.0, 0.5, 0.0, 0.0, 0.6666666666666666, nan, nan, 0.0, nan]
2019-02-19T17:57:42.516658: step 74, loss 6.3291, accuracy 0.25, precision [0.0, 0.6666666666666666, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5, nan], recall [0.0, 0.3333333333333333, 0.0, 0.0, 0.0, 0.0, nan, 0.6666666666666666, nan]
2019-02-19T17:57:42.672002: step 75, loss 5.48558, accuracy 0.3125, precision [0.0, 0.0, 0.5, 0.0, 0.75, nan, nan, 0.3333333333333333, nan], recall [nan, 0.0, 1.0, 0.0, 0.75, nan, nan, 0.3333333333333333, nan]
2019-02-19T17:57:42.823761: step 76, loss 5.9998, accuracy 0.5, precision [0.5, 0.6666666666666666, nan, 1.0, 1.0, nan, 0.0, 0.0, 0.0], recall [1.0, 1.0, 0.0, 0.42857142857142855, 1.0, nan, nan, 0.0, nan]
2019-02-19T17:57:42.981209: step 77, loss 2.8381, accuracy 0.625, precision [nan, 0.0, 1.0, 0.7777777777777778, 0.3333333333333333, nan, nan, nan, nan], recall [0.0, 0.0, 0.5, 0.875, 0.5, nan, nan, nan, nan]
2019-02-19T17:57:43.129686: step 78, loss 3.2383, accuracy 0.5625, precision [0.0, 0.0, 1.0, 0.6666666666666666, 1.0, nan, nan, 0.5, 0.0], recall [0.0, nan, 0.5, 0.6666666666666666, 0.75, 0.0, nan, 0.5, nan]
2019-02-19T17:57:43.280708: step 79, loss 5.33671, accuracy 0.25, precision [0.0, 0.0, nan, 0.42857142857142855, 0.25, nan, 0.0, 0.0, nan], recall [0.0, 0.0, nan, 0.6, 0.2, 0.0, nan, 0.0, nan]
2019-02-19T17:57:43.430077: step 80, loss 3.6119, accuracy 0.5625, precision [0.0, 0.3333333333333333, 1.0, 0.4, 0.8, nan, nan, 1.0, nan], recall [0.0, 1.0, 0.5, 0.4, 1.0, nan, nan, 0.3333333333333333, nan]
2019-02-19T17:57:43.589009: step 81, loss 4.95474, accuracy 0.375, precision [0.5, nan, 0.0, 0.375, 0.0, nan, 0.0, 1.0, nan], recall [1.0, 0.0, 0.0, 0.75, 0.0, nan, nan, 0.6666666666666666, nan]
2019-02-19T17:57:43.743238: step 82, loss 3.13456, accuracy 0.3125, precision [1.0, 0.0, 0.3333333333333333, 0.6, 0.0, nan, nan, 0.0, 0.0], recall [0.5, 0.0, 0.2, 0.75, 0.0, nan, nan, 0.0, nan]
2019-02-19T17:57:43.901736: step 83, loss 4.43227, accuracy 0.4375, precision [0.0, nan, 0.0, 0.5, 0.6666666666666666, nan, nan, 0.5, nan], recall [nan, 0.0, 0.0, 0.5, 0.4, nan, nan, 1.0, nan]
2019-02-19T17:57:44.053863: step 84, loss 5.04536, accuracy 0.25, precision [0.3333333333333333, 0.0, 0.0, 0.4, 0.0, nan, nan, 0.5, nan], recall [0.5, 0.0, nan, 0.25, 0.0, nan, 0.0, 0.5, 0.0]
2019-02-19T17:57:44.205545: step 85, loss 6.50723, accuracy 0.3125, precision [0.0, nan, 0.5, 0.8, nan, 0.0, 0.0, 0.0, 0.0], recall [0.0, 0.0, 1.0, 0.4, 0.0, nan, nan, nan, 0.0]
2019-02-19T17:57:44.361105: step 86, loss 4.75314, accuracy 0.25, precision [0.0, 0.0, 0.5, 0.2857142857142857, 0.5, 0.0, nan, 0.0, nan], recall [0.0, 0.0, 1.0, 0.5, 0.3333333333333333, nan, 0.0, 0.0, 0.0]
2019-02-19T17:57:44.517259: step 87, loss 7.79132, accuracy 0.1875, precision [0.0, 0.0, 0.0, 0.6, nan, nan, 0.0, 0.0, nan], recall [0.0, 0.0, nan, 0.6, 0.0, nan, nan, 0.0, nan]
2019-02-19T17:57:44.674176: step 88, loss 4.43496, accuracy 0.5, precision [0.0, 0.0, 0.6666666666666666, 0.7142857142857143, 1.0, 0.0, nan, nan, nan], recall [nan, 0.0, 1.0, 0.45454545454545453, 1.0, nan, nan, 0.0, nan]
2019-02-19T17:57:44.828535: step 89, loss 6.32125, accuracy 0.25, precision [0.0, 0.0, 0.0, 0.75, 0.3333333333333333, nan, nan, 0.0, nan], recall [0.0, 0.0, 0.0, 0.3, 0.3333333333333333, nan, nan, nan, nan]
2019-02-19T17:57:44.984181: step 90, loss 4.62318, accuracy 0.375, precision [0.25, 1.0, 0.0, 0.4, 0.5, 0.0, nan, 0.5, nan], recall [1.0, 0.2, nan, 0.2857142857142857, 1.0, nan, 0.0, 1.0, nan]
2019-02-19T17:57:45.140696: step 91, loss 6.78296, accuracy 0.375, precision [1.0, 0.0, 0.0, 0.6666666666666666, 0.0, nan, nan, 0.25, nan], recall [0.3333333333333333, nan, 0.0, 0.5, 0.0, nan, 0.0, 1.0, nan]
2019-02-19T17:57:45.298554: step 92, loss 6.12746, accuracy 0.1875, precision [0.6666666666666666, 0.0, 0.0, 0.25, 0.0, 0.0, 0.0, 0.0, nan], recall [1.0, nan, 0.0, 0.14285714285714285, 0.0, nan, 0.0, 0.0, nan]
2019-02-19T17:57:45.456140: step 93, loss 10.2134, accuracy 0.1875, precision [nan, 0.5, nan, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0], recall [0.0, 0.5, 0.0, 1.0, nan, nan, 0.0, 0.0, 0.0]
2019-02-19T17:57:45.605811: step 94, loss 6.23594, accuracy 0.125, precision [1.0, nan, nan, 0.14285714285714285, 0.0, 0.0, nan, 0.0, nan], recall [0.2, 0.0, 0.0, 0.5, 0.0, nan, 0.0, nan, nan]
2019-02-19T17:57:45.759675: step 95, loss 6.51653, accuracy 0.3125, precision [1.0, 0.5, 1.0, 0.0, 0.4, 0.0, nan, 0.0, 0.0], recall [0.25, 0.5, 0.2, 0.0, 1.0, nan, nan, 0.0, nan]
2019-02-19T17:57:45.917355: step 96, loss 5.24439, accuracy 0.1875, precision [0.3333333333333333, 0.0, 0.0, 0.14285714285714285, 0.0, nan, nan, 0.0, 1.0], recall [0.14285714285714285, 0.0, nan, 0.5, nan, 0.0, nan, 0.0, 1.0]
2019-02-19T17:57:46.074652: step 97, loss 5.04755, accuracy 0.25, precision [0.0, 0.4, nan, 0.2857142857142857, 0.0, 0.0, 0.0, nan, nan], recall [0.0, 1.0, 0.0, 0.5, 0.0, 0.0, nan, 0.0, nan]
2019-02-19T17:57:46.231634: step 98, loss 2.90772, accuracy 0.625, precision [1.0, 0.0, 0.5, 0.6666666666666666, 1.0, 0.0, nan, nan, nan], recall [1.0, nan, 1.0, 0.75, 0.6666666666666666, 0.0, nan, 0.0, 0.0]
2019-02-19T17:57:46.382081: step 99, loss 6.28457, accuracy 0.1875, precision [0.0, 0.25, 0.0, 0.3333333333333333, 0.25, 0.0, 0.0, nan, 0.0], recall [0.0, 1.0, 0.0, 0.2, 0.5, 0.0, 0.0, 0.0, 0.0]
2019-02-19T17:57:46.536074: step 100, loss 6.0074, accuracy 0.3125, precision [nan, 1.0, 0.2, 0.5, 0.5, 0.0, 0.0, nan, 0.0], recall [0.0, 0.3333333333333333, 0.5, 0.5, 0.5, nan, nan, 0.0, nan]
2019-02-19T17:57:46.687468: step 101, loss 4.00275, accuracy 0.5, precision [nan, 0.5, 0.0, 0.75, 0.0, nan, nan, 0.0, nan], recall [0.0, 1.0, 0.0, 1.0, 0.0, 0.0, nan, 0.0, nan]
2019-02-19T17:57:46.838837: step 102, loss 3.24932, accuracy 0.375, precision [0.0, 0.3333333333333333, 0.0, 0.5, 0.5, nan, 0.0, nan, nan], recall [nan, 0.5, nan, 0.42857142857142855, 1.0, 0.0, nan, 0.0, 0.0]
2019-02-19T17:57:46.991957: step 103, loss 2.99792, accuracy 0.375, precision [0.0, 1.0, nan, 0.4, 0.75, 0.0, 0.0, 0.0, nan], recall [nan, 0.3333333333333333, nan, 0.6666666666666666, 0.42857142857142855, 0.0, 0.0, 0.0, nan]
